HSA #,HSA name,State,Medicare enrollees (20% sample) (2006),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2006)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2006)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2006)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2006)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2006)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2006)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2006)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2006)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2006)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2006)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2006)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2006)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2006)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2006)"
2001,Anchorage,AK,3234,6511.52,5536.81,3487.88,2727.83,1748.4,1665.83,629.3,549.81,294.41,257.61,183.68,167.99,164.95,161.79
2002,Cordova,AK,27,4698.48,4005.84,,,1158.86,1130.73,995.03,855.03,,,,,,
2003,Fairbanks,AK,1152,7201.58,6083.7,4035.72,3122.4,1968.74,1862.22,870.87,794.78,122.93,112.59,,,120.08,117.95
2004,Homer,AK,213,5574.77,4449.99,3151.68,2177.32,1157.33,1125.25,925.32,817.18,,,,,143.16,140.2
2005,Juneau,AK,488,5703.05,4862.79,3121.28,2477.67,1383.68,1315.87,831.18,741,178.21,157.01,,,96.18,95.22
2006,Ketchikan,AK,286,8694.77,7281.88,4730.11,3659.86,1780.98,1653.64,1320.49,1177.11,406.7,355.02,,,162.14,160.88
2007,Kodiak,AK,122,10450.64,8058.82,7237.82,5193.31,1356.73,1304.96,1095.16,964.87,,,,,91.96,89.14
2008,Nome,AK,61,8865.78,5455.97,4990.63,2256.47,814.72,722.77,2198.8,1897.3,,,,,,
2009,Palmer,AK,930,7545.16,6343.65,4165.13,3235.94,1783.77,1665.83,887.16,774.84,235.3,204.53,270.21,240.57,203.97,207.33
2010,Petersburg,AK,74,8735.76,7587.98,5033.94,4242.32,1552.33,1422.5,1524.22,1346.11,,,,,108.21,105.84
