HSA Number,HSA Name,Medicare enrollees (2002),Total Mortality: ASR-adjusted % of deaths among Medicare enrollees (2002),Non-HMO Mortality: ASR-adjusted % of deaths among Medicare enrollees without HMO coverage (2002)
49001,VA-Abingdon                ,5988,5.87576801679733,5.9752259497782
49002,VA-Alexandria              ,23921,4.62701826151601,4.61218503068098
49003,VA-Arlington               ,18431,4.51525844426361,4.55576626022126
49004,VA-Bedford                 ,5120,5.02676984235078,5.03460979666327
49005,VA-Big Stone Gap           ,2082,7.76244870121835,8.29941986620627
49006,VA-Blacksburg              ,6254,5.70009637005635,5.69198522008273
49007,VA-Charlottesville         ,27016,5.08555132625738,5.10514470064627
49008,VA-Chesapeake              ,12899,5.94028346522944,5.96053270943371
49009,VA-Clintwood               ,1879,8.27184640083289,8.39987607180052
49010,VA-Culpeper                ,4336,5.63920250601809,5.69580116670569
49011,VA-Danville                ,16974,6.00596059744671,6.00621719493939
49012,VA-Emporia                 ,4373,5.96654907096679,5.9656855396449
49013,VA-Fairfax                 ,4985,5.40556124390519,5.62924344225351
49014,VA-Falls Church            ,46511,4.49382270906263,4.59796656503159
49015,VA-Farmville               ,4277,5.00450254670419,5.02084616445843
49016,VA-Franklin                ,3658,5.63166116257567,5.63912808435189
49017,VA-Fredericksburg          ,21404,5.89278815236309,5.93256385497761
49018,VA-Front Royal             ,3736,5.62454275014507,5.66878955039645
49019,VA-Galax                   ,7963,5.25860096417791,5.24936219729094
49020,VA-Gloucester              ,6905,5.18868483530288,5.20682307436098
49021,VA-Grundy                  ,2928,6.68648099886835,6.63948648137277
49022,VA-Hampton                 ,9146,5.24859179037167,5.20987283237184
49023,VA-Harrisonburg            ,16674,4.52611361228238,4.55237125639927
49024,VA-Hopewell                ,4437,6.7390150613848,6.78811322558172
49025,VA-Hot Springs             ,942,6.36007821470082,6.4263839292121
49026,VA-Kilmarnock              ,7254,5.08536842512878,5.12494559083151
49027,VA-Lebanon                 ,3996,6.51256652518359,6.39663153897344
49028,VA-Leesburg                ,8396,5.11373064173912,5.21521019154774
49029,VA-Lexington               ,5012,5.93175382524334,5.94961953162395
49030,VA-Low Moor                ,4295,6.63342280267699,6.58183383712618
49031,VA-Luray                   ,2764,6.36473138364012,6.42901337187252
49032,VA-Lynchburg               ,29690,5.14330488904861,5.16355697690458
49033,VA-Manassas                ,8619,5.98636983969866,6.14899811212126
49034,VA-Marion                  ,5563,6.06122933632138,6.15809077570135
49035,VA-Martinsville            ,12353,5.10385404523921,5.10813954116366
49036,VA-Nassawadox              ,6287,5.92851254915536,5.95382469320976
49037,VA-Newport News            ,31413,5.41168588451749,5.39930235336187
49038,VA-Norfolk                 ,32594,5.7072391729624,5.71429336341188
49039,VA-Norton                  ,4157,5.4834861880201,5.86316158663962
49040,VA-Pearisburg              ,3259,5.54177766566349,5.60546575253923
49041,VA-Pennington Gap          ,2668,5.54144410491903,5.72191183840089
49042,VA-Petersburg              ,14299,5.79528749740199,5.81052994395495
49043,VA-Portsmouth              ,19737,5.34863053035326,5.34175185459494
49044,VA-Pulaski                 ,3143,4.92578499045752,4.96041486005889
49045,VA-Radford                 ,4624,5.70419843376807,5.66204355025433
49046,VA-Reston                  ,9102,5.08424383963774,5.19590266604996
49047,VA-Richlands               ,3849,6.70653178166555,6.35488274306825
49048,VA-Richmond                ,104832,5.34415445718675,5.35518676390021
49049,VA-Roanoke                 ,34377,5.44291282344979,5.46887012752325
49050,VA-Rocky Mount             ,3689,5.46362190913574,5.51095445156024
49051,VA-Salem                   ,7585,6.32273780534155,6.34594077590275
49052,VA-South Boston            ,9476,5.27627238046563,5.27538922365696
49053,VA-South Hill              ,4979,5.74669970766355,5.73762469613397
49054,VA-Staunton                ,16422,5.2699614685674,5.29775421172288
49055,VA-Stuart                  ,2513,4.93480607039462,4.98516818141999
49056,VA-Suffolk                 ,8454,5.77564273854472,5.78316622971704
49057,VA-Tappahannock            ,4338,5.91556350301501,5.9101312393345
49058,VA-Tazewell                ,1969,5.80641769770428,5.92598015743731
49059,VA-Virginia Beach          ,26324,5.32368561446404,5.34437174945088
49060,VA-Warrenton               ,6564,4.76489364968884,4.76651148148395
49062,VA-Williamsburg            ,12213,4.4711723998504,4.46317383534354
49063,VA-Winchester              ,15833,5.6372932185775,5.68236970943524
49065,VA-Woodbridge              ,8228,5.6723249159092,5.73558716804979
49066,VA-Woodstock               ,3976,5.24584344262573,5.30323142846699
49067,VA-Wytheville              ,4999,6.05571367338067,6.0395921279972
