HSA Number,HSA Name,Medicare enrollees (2010),Total Mortality: ASR-adjusted % of deaths among Medicare enrollees (2010),Non-HMO Mortality: ASR-adjusted % of deaths among Medicare enrollees without HMO coverage (2010)
49001,VA-Abingdon,9520,5.10394581768866,5.45473079429656
49002,VA-Alexandria,28430,3.73690877079521,3.69991297939497
49003,VA-Arlington,20764,3.76782928385914,3.79680474754484
49004,VA-Bedford,4372,5.10700228523293,5.30604328054437
49005,VA-Big Stone Gap,2142,6.83880010958487,6.82840706227898
49006,VA-Blacksburg,7771,4.84613534979515,4.87625316915636
49007,VA-Charlottesville,33285,4.14516699151402,4.35503306950361
49008,VA-Chesapeake,16543,4.81430453512362,4.91309648324033
49009,VA-Clintwood,2073,6.37840362610381,6.36215411261429
49010,VA-Culpeper,5648,4.70319361018683,4.90745405116203
49011,VA-Danville,17806,4.77969908709834,5.1266518303821
49012,VA-Emporia,4532,5.5481630887507,6.0611688850377
49013,VA-Fairfax,9060,4.09019181201549,4.10025043762934
49014,VA-Falls Church,61977,3.46396034988608,3.51724655863915
49015,VA-Farmville,4823,4.72962254693918,5.13775118183869
49016,VA-Franklin,3933,5.17966601505129,5.33562726605055
49017,VA-Fredericksburg,29951,4.59799465495243,4.72293165415623
49018,VA-Front Royal,4286,5.05000463391894,5.33712806720874
49019,VA-Galax,8640,4.96600505418552,5.07528394633569
49020,VA-Gloucester,9132,4.89945679307847,5.12117584982515
49021,VA-Grundy,3058,6.17506510707352,6.46401337737473
49022,VA-Hampton,10139,4.74836858827721,4.76935117993643
49023,VA-Harrisonburg,19689,4.08258601443149,4.22965506300431
49024,VA-Hopewell,5082,5.1570739631331,5.319834433074
49025,VA-Hot Springs,1132,5.20249102437643,5.39823482442586
49026,VA-Kilmarnock,7990,4.09296430750489,4.22322459146994
49027,VA-Lebanon,4674,5.94363608546588,6.25030015216623
49028,VA-Leesburg,13432,3.74332964665346,3.75153210919842
49029,VA-Lexington,5870,4.19735883553088,4.33391105000975
49030,VA-Low Moor,4595,4.6946658156862,4.8898907106168
49031,VA-Luray,3325,5.82301936184776,6.10355513734755
49032,VA-Lynchburg,35475,4.67125321860755,4.86294632465315
49033,VA-Manassas,15790,4.57133311573976,4.68939102779788
49034,VA-Marion,5892,5.88084573484221,6.1389832582055
49035,VA-Martinsville,13722,4.85198662024207,5.33298795101454
49036,VA-Nassawadox,6453,5.09459536237739,5.3548987512748
49037,VA-Newport News,37363,4.71231507830817,4.73151602587255
49038,VA-Norfolk,34843,5.05661991536917,5.1606074590034
49039,VA-Norton,4465,5.19217403566955,5.36321289117086
49040,VA-Pearisburg,3563,5.57123192269862,5.5848410772167
49041,VA-Pennington Gap,2828,5.9848680949694,6.41416651267679
49042,VA-Petersburg,15985,4.82455847882854,4.90188213747849
49043,VA-Portsmouth,21923,4.68024991436691,4.84146495338837
49044,VA-Pulaski,5129,5.55885628940677,5.65218017381231
49045,VA-Radford,3815,4.04933360992077,4.28951263632103
49046,VA-Reston,17437,3.63875296479769,3.73211441222185
49047,VA-Richlands,4524,6.30363978702006,6.41921472095803
49048,VA-Richmond,126909,4.62092227610488,4.77096389833614
49049,VA-Roanoke,41729,4.85004378193658,5.05997314677851
49050,VA-Rocky Mount,4394,5.20173314533961,5.48854212805736
49051,VA-Salem,8918,4.82072260528901,5.01135555306109
49052,VA-South Boston,10515,4.91592030887364,5.33315932882626
49053,VA-South Hill,5678,4.82456733147157,5.00732867836469
49054,VA-Staunton,19281,4.73911807811906,4.79468606605431
49055,VA-Stuart,3067,5.19008969971168,5.56217428254037
49056,VA-Suffolk,10077,5.36819615648308,5.52058857772604
49057,VA-Tappahannock,5077,4.42645311522136,4.29807369070348
49058,VA-Tazewell,2292,6.71750129414247,6.7232021229726
49059,VA-Virginia Beach,31998,4.41599828572333,4.61268895422883
49060,VA-Warrenton,9397,4.66800626266341,4.70330751998711
49062,VA-Williamsburg,17757,3.73991186826439,3.88516235885776
49063,VA-Winchester,20616,5.0340121160945,5.2736206804919
49065,VA-Woodbridge,13186,4.27935751115638,4.27705983925077
49066,VA-Woodstock,4828,4.28637217452091,4.52139009232953
49067,VA-Wytheville,5919,5.15260929776222,5.09807764142988
