HSA #,HSA name,State,Medicare enrollees (20% sample) (2003),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2003)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2003)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2003)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2003)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2003)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2003)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2003)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2003)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2003)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2003)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2003)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2003)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2003)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2003)"
2001,Anchorage,AK,2934,5493.16,4583.06,2791.12,2139.34,1521.45,1403.66,736.44,640.37,239.49,209.75,,,147.57,133
2002,Cordova,AK,24,8547.23,6919.52,,,2229.35,1881.36,980.92,840.71,,,,,,
2003,Fairbanks,AK,1052,6570.12,5298.56,3580.86,2620.31,1737.25,1589.9,826.37,719.81,160.85,140.03,,,178.55,159.65
2004,Homer,AK,191,6558.72,4815.68,3595.38,2109.49,1360.35,1293.82,1196.81,1036.85,,,,,229.48,204.08
2005,Juneau,AK,434,5723.47,4773.03,2911.54,2264.52,1282.24,1172.77,1170.73,1020.25,173.94,156.25,,,92.62,86.42
2006,Ketchikan,AK,279,7259.81,6079.95,4199.95,3365.54,1504.77,1360.63,874.98,760.81,383.88,333.52,,,216.98,197.09
2007,Kodiak,AK,108,5946,4656.07,3731.31,2688.27,1157.2,1078.92,787.43,688.42,,,,,58.33,51.82
2008,Nome,AK,65,5631.49,5035.17,3560.53,3278.54,974.78,826.93,752.3,643.12,,,,,,
2009,Palmer,AK,777,5540.02,4654.87,2426.83,1853.43,1647.18,1494.87,892.48,774.16,206.81,180.11,,,177.01,177.82
2010,Petersburg,AK,77,12849.31,10429.51,7976.18,6134.03,2509.93,2236.03,1906.43,1670.82,,,,,94.52,92.51
2011,Seward,AK,48,3430.5,2927.97,,,916.77,856.45,1366.41,1177.66,,,,,,
2012,Sitka,AK,133,7901.72,5961.36,4214.79,2700.13,1017.45,961.84,1955.15,1695.98,,,,,123.83,113.05
2013,Soldotna,AK,470,7066.18,5765.82,4097.12,3086.96,1457.83,1331.25,933.77,812.83,342.75,305.93,,,196.47,179.44
2014,Valdez,AK,20,5375.69,3532.55,,,1110.75,920.58,1279.16,1098.25,,,,,,
2015,Wrangell,AK,55,4964.86,4154.65,,,771.65,723.72,1494.82,1290.77,,,,,,
2016,Barrow,AK,39,5415.33,4259.18,,,277.26,252.52,1526.25,1305.86,,,,,,
2017,Bethel,AK,208,7350.45,5584.95,3457.78,2419.14,1996.24,1571.22,1410.68,1207.86,,,,,105.1,90.22
2018,Dillingham,AK,50,6842.78,5053.39,3419.8,2231.96,1491.56,1213.04,1351.99,1154.47,,,,,,
2019,Kotzebue,AK,64,4393.95,3022.99,,,536.3,427.54,740.42,627.77,,,,,,
1001,Alabaster,AL,1536,8648.44,9534.31,4415.55,5073.39,2297.28,2403.13,638.74,660.49,517.85,542.59,511.15,598.61,302.17,301.16
1002,Alexander City,AL,722,6819.7,8129.67,2646.04,3332.95,1740.5,1889.06,761.37,862.92,184.37,211.28,1199.05,1536.59,267.27,261.58
1003,Andalusia,AL,837,7397.86,8493.11,3968.99,4757.34,1875.08,1996.78,544.25,615.86,331.97,381.14,271.15,345.54,402.79,387.93
1004,Anniston,AL,2645,7744.29,8730.14,4250.56,4971.16,2041.86,2181.59,595.5,655.83,312.1,343.49,229.61,276.67,326.32,322.19
1006,Ashland,AL,459,7343.77,8575.37,4164.07,5065.19,1638.12,1764.57,622.72,698.28,275.41,314.3,350.29,445.23,293.54,290.59
1007,Athens,AL,1255,6653.94,7227.53,3201.15,3554.51,1815.33,1957.79,696.27,730.27,529.28,560.1,124.52,146.08,295.31,289.98
1008,Atmore,AL,424,7154.91,8510.71,3507.98,4433.86,1764.35,1904.39,656.88,723.72,340.93,378.97,733.12,920.08,171.74,173.32
1010,Bessemer,AL,1672,7190.31,7837.43,3917.23,4374.22,1798.3,1933.85,654.08,676.27,279.11,292.3,264.78,290.83,274.16,269.44
1011,Birmingham,AL,13681,6824.78,7503.22,3511.99,3984.85,1878.2,2015.88,581.11,601.13,292.43,303.46,323.27,362.18,236.43,234.16
1012,Boaz,AL,1614,6742.83,7517.34,3634.03,4150.09,1544.75,1684.15,663.62,709.31,369.7,390.48,217.08,272.07,347.17,349.77
