HRR #,HRR name,State,Medicare enrollees (20% sample) (2003),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2003)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2003)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2003)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2003)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2003)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2003)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2003)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2003)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2003)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2003)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2003)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2003)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2003)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2003)"
10,Anchorage,AK,7028,6071.42,4966.58,3175.11,2377.58,1526.06,1391.57,915.01,794.53,208.11,181.79,27.21,24.46,152.65,139.53
1,Birmingham,AL,47877,6778.21,7637.24,3450.52,4045.74,1780.21,1911.92,571.38,613.73,340.56,366.7,356.62,423.3,284.03,283.17
2,Dothan,AL,9303,6070.88,7056.23,2871.36,3551.4,1619.37,1742.82,533.72,584.93,253.24,278.66,550.74,658,256.66,257.8
5,Huntsville,AL,12639,6413.95,7140.11,3206.77,3714.87,1859.88,2003.27,568.11,600.82,327.34,349.28,165.16,191.97,288.22,285.6
6,Mobile,AL,16170,6534.74,7615.67,2988.13,3735.79,1807.28,1955.44,594.16,653.29,347.83,385.96,545.1,635.62,271.03,270.82
7,Montgomery,AL,9552,6335.98,7306.35,3088.2,3790.99,2032.64,2132.34,397.05,448.57,301.59,343.34,279.88,348.68,261.13,262.05
9,Tuscaloosa,AL,5554,6537.51,7466.93,3508.5,4151.66,1704.1,1858.12,509.87,564.54,427.73,475.15,147.6,179.63,228.06,226.24
16,Fort Smith,AR,8718,6015.89,6878.99,3231.21,3824.26,1444.68,1565.08,463.73,519.17,470.87,536.41,133.94,164.79,293.19,292.1
18,Jonesboro,AR,5768,5715.95,6521.81,2954.85,3525.18,1453.6,1564.84,631.13,709.66,268.28,306.44,72.67,86.4,347.05,342.91
19,Little Rock,AR,37904,6305.36,7151.03,3336.86,3942.32,1723.06,1883.19,534.4,583.72,233.3,258.23,203.77,215.5,275.53,270.21
21,Springdale,AR,9680,5171.51,6001.69,2711.48,3312.09,1436.71,1573.36,455.2,504.03,213.58,239.97,113.86,136.39,243.29,238.5
22,Texarkana,AR,6579,6985.11,7952.37,3763.19,4479.89,1790.55,1914.28,473.54,524.35,491.08,548.98,100.85,123.01,357.82,351.33
11,Mesa,AZ,11630,6229.94,6283.26,2766.62,2906.89,2266.39,2207.37,426.18,422.82,214.94,214.85,362.11,338.69,178.41,182.2
12,Phoenix,AZ,39562,6319.88,6313.9,3135.25,3184.95,2062.48,2012.82,461.34,460.58,175.27,176.09,298.11,287.38,184.21,190.21
14,Sun City,AZ,8812,6360.59,6508.31,2933.86,3142.38,2444.89,2410.33,415.85,411.85,140.28,140.07,246.86,225.54,152.63,155.67
15,Tucson,AZ,17929,5706.31,5903.39,2774.11,2968.75,1874.55,1847.79,500.93,526.8,158.37,167.63,229.65,219.62,161.29,167.4
23,Orange County,CA,29980,8465.32,7649.28,4056.69,3625.49,2922.02,2640.55,624.76,572.16,404.64,371.46,175.82,156.9,259.29,257.37
25,Bakersfield,CA,11638,7062.32,6844.43,3692.5,3600.98,2276.16,2144.59,535.42,536.29,173.46,173.61,88.39,94.34,286.03,285.12
31,Chico,CA,8041,5871.98,5844.07,3049.25,3065.99,1564.45,1525.78,662.51,654.22,259.24,259.02,96.75,103.2,246.91,242.47
33,Contra Costa County,CA,9564,7384.63,5996.85,4037.78,3156.44,2110.2,1841.9,687.76,536.61,275.4,216.2,131.43,107.39,142.59,138.78
43,Fresno,CA,14039,6098.94,5889.73,3094.21,2959.38,1969.26,1912.13,591.97,580.14,165.88,163.57,41.81,41.65,233.91,230
56,Los Angeles,CA,87761,9812.33,8517.89,5029.74,4135.4,3057.62,2802.41,643.43,575.74,651.85,587,145.85,127.26,270.44,268.15
58,Modesto,CA,11103,7228.55,6857.74,4278.34,4027.89,1863.04,1773.28,629.97,606.2,171.37,167.4,94.42,95.83,191.07,187.62
62,Napa,CA,5777,6985.38,6143.31,3742.41,3165.39,1802.1,1657.75,883.72,793.94,274.85,255.86,116.54,108.73,168.89,165.36
65,Alameda County,CA,12882,7544.37,5981.61,4440.93,3334.54,1915.67,1697.82,666.45,518.7,260.62,203.76,119.94,95.67,145.77,146.29
69,Palm Springs/Rancho Mirage,CA,6656,8174.13,7531.42,4175.29,3791.75,2568.85,2431.21,781.6,710.92,233.59,214.41,220.76,193.6,176.37,172.04
73,Redding,CA,8767,6168.12,5904.06,3187.64,3055.63,1783.51,1696.85,604.24,572.64,267.57,258.09,79.94,81.28,244.85,240
77,Sacramento,CA,27554,5947.71,5521.47,3150,2846.58,1757.41,1688.36,519.68,484.57,225.58,211.7,108.99,107.87,183.94,179.74
78,Salinas,CA,6677,6912.02,5917.45,3649.54,2979.65,1992.59,1909.99,618.3,485.32,344.99,271.65,162.56,126.31,148.61,145.23
79,San Bernardino,CA,18327,7605.45,6845.72,4130.2,3575.61,2121.67,2013.64,496.62,454.11,360.67,329.89,242.3,218.21,260.83,257.83
80,San Diego,CA,33026,6716.73,6296.96,3396.85,3122.98,2025.23,1960.04,591.72,551.32,275.64,259.44,265.8,238.39,169.4,168.9
81,San Francisco,CA,17320,6849.64,5429.23,3846.61,2871.04,1753.35,1522.38,741.34,599.66,292.17,237.6,96.47,82.55,127.95,124.51
82,San Jose,CA,14856,6959.64,5705.87,3703.65,2907.84,2103.94,1825.37,621.5,506.96,242.99,198.24,124.03,101.63,163.19,159.22
83,San Luis Obispo,CA,5382,5561.85,5339.91,2589.33,2514.27,2057.19,1969.21,423.69,387.4,190.91,177.67,108.03,105.57,176.2,171.52
85,San Mateo County,CA,9616,6472.08,5244.81,3324,2605.92,1904.13,1609.65,743.62,600.23,268.8,217.45,120.27,101.92,118.59,114.74
86,Santa Barbara,CA,7245,5721.73,5529.71,2553.28,2489.98,2202.29,2112.55,477.48,452.76,182.53,174.56,112.62,111.8,181.62,177.03
87,Santa Cruz,CA,3762,6491.12,5440.3,3446.21,2666.63,1923,1835.63,491.11,397.24,339.05,276.02,159.17,134.25,129.08,126.33
89,Santa Rosa,CA,7010,6226.24,5377.55,3111.32,2554.34,1929.62,1816.41,541.46,452.41,284.94,232.31,186.39,159.4,165.81,161.87
91,Stockton,CA,6977,6771.18,6447.33,3808.42,3615.93,1885.23,1795.58,607.77,581.36,198.81,191.12,86.34,85.8,186.99,182.65
96,Ventura,CA,10167,7434.46,6973.15,3537.22,3372.83,2635.9,2425.35,571.32,526.82,309.92,285.95,159.72,148.42,210.85,204.75
101,Boulder,CO,2720,6441.73,6590.28,3272.42,3412.73,1834.08,1829.36,582.17,579.4,270.97,270.09,273.74,277.94,200.91,214.56
102,Colorado Springs,CO,11791,5779.24,5984.9,2789.27,2983,1528.88,1513.09,632.62,639.4,259.27,260.87,266.85,264.87,309.3,334.1
103,Denver,CO,24234,6348.02,6347.51,3224.68,3213.04,1675.8,1692.21,695.77,690.4,282.28,275.63,213.67,201.57,257.45,276.64
104,Fort Collins,CO,5255,5508.24,5814.55,2702.82,2933.52,1621.99,1660.79,560.55,568.7,244.54,251.82,101.85,103.99,275.2,297
105,Grand Junction,CO,4605,5227.72,5383.37,2490.48,2551.28,1130.8,1147.77,715.03,731.74,335.19,348.8,309.35,339.07,271.06,294.17
106,Greeley,CO,5765,6102.69,6284.94,3103.89,3233.39,1543.88,1570.22,725.61,742.99,236.79,243.29,209.57,191.67,288.71,310.81
107,Pueblo,CO,3263,5974.57,6314.95,3157.29,3431.09,1606.41,1595.68,489.05,512.87,268.68,279.05,98.15,114.38,349.21,377.68
109,Bridgeport,CT,13754,7518.53,6320.83,4035.64,3206.23,2282.14,2077.51,604.31,521.93,396.12,344.02,68.94,47.78,134.85,130.69
110,Hartford,CT,35603,6951.19,6072,3735.92,3179.31,1877.52,1695.77,683.69,612.71,405.42,364.11,94.11,70.88,156.47,153.42
111,New Haven,CT,31781,7820,6640.54,4271.49,3471.62,2173.17,1986.6,645.94,558.9,428.11,375.11,118.78,75.02,179.63,175.44
113,Washington,DC,41515,6711.56,6253.45,3491.13,3165.78,2090.96,1983.46,720.24,703.69,201.68,194.28,90.03,87.95,137.25,136.12
112,Wilmington,DE,15855,7099.23,6728.75,3645.53,3378.93,2201.29,2162.84,638.41,600.62,288.92,272.01,150.98,140.13,175.4,175.4
115,Bradenton,FL,9588,6496.62,6784.62,2940.34,3230.03,2464.98,2453.59,412.34,418.31,373.28,383.3,83.6,76.15,211.07,216.13
116,Clearwater,FL,14436,7056.9,7567.04,3127.41,3585.05,2488.88,2489.95,504.25,521.33,410.97,430.11,276.5,288.65,233.56,236.72
118,Fort Lauderdale,FL,56487,8317.36,8166.69,3353.32,3473.12,3345.37,3154.75,672.09,655.31,543.72,535,211.39,163.54,198.24,198.84
119,Fort Myers,FL,35889,6706.48,6825.52,2756.76,3019.96,2761.26,2642.72,469.06,470,273.45,276.6,225.55,201.63,190.9,193.23
120,Gainesville,FL,11773,6949.25,7007.48,3440.74,3509.29,2083.84,2073.34,573.58,579.32,253.67,258.73,322,308.94,283.25,285.45
122,Hudson,FL,13401,7337.9,7774.78,3273.31,3765.54,2670.84,2623.27,506.95,524.48,382.85,399.63,259.98,221.04,228.26,230.75
123,Jacksonville,FL,27501,7119.21,7441.9,3486.47,3766.24,2310.62,2329.68,539.04,557.93,301.53,314.26,240.25,229.82,249.44,250.9
124,Lakeland,FL,8361,6424.71,6809.03,2916.38,3311.42,2288.93,2255.04,357.01,364.81,342.22,353.59,233.37,237.47,287.2,291.14
127,Miami,FL,32085,10834.3,10296,4345.64,4037.6,3204.86,2993.15,873.63,874.73,666.12,668.4,237.04,184.65,1234.73,1219
129,Ocala,FL,20576,6278.91,6626.5,2745.51,3130.05,2397.63,2350.81,459.6,471.69,258.82,267.78,150.33,143.39,238.54,241.62
130,Orlando,FL,76665,7079.41,7317.09,3327.73,3600.87,2445.61,2410.03,515.98,518.9,307.36,311.37,236.43,226.99,241.93,246.49
131,Ormond Beach,FL,9789,5920.48,6295.87,2683.6,3016.86,1955.01,1968.61,696.63,717.56,253.51,262.71,132.95,130.91,190.36,193.41
133,Panama City,FL,5174,7292.39,7761.03,3585.38,4006.42,2164.79,2168.06,596.62,629.22,308.53,328.81,326.83,323.33,321.42,322.08
134,Pensacola,FL,17575,6843.18,7372.21,3330.41,3807.53,1986.99,2026.87,640.21,680.82,254.46,272.85,385.91,336.9,260.36,261.9
137,Sarasota,FL,18999,6475.87,6774.72,2580.14,2893.63,2709.88,2694.01,546.63,553.1,295.95,302.83,136.71,129.34,189.87,192.11
139,St. Petersburg,FL,10185,7159.05,7533.69,3272.76,3601.35,2468.46,2459.79,541.32,560.6,400.87,419.08,241.85,251.41,228.42,234.35
140,Tallahassee,FL,13833,5932.46,6527.72,2894.4,3318.92,1609.25,1666.22,640.55,692.87,255.8,278.47,232.49,257.48,294.91,304.6
141,Tampa,FL,18005,7067.4,7443.62,3265.79,3611.93,2370.15,2360.68,529.56,548.7,373.55,388.75,307.41,310.57,222.25,224.71
142,Albany,GA,4439,6136.01,6168.46,3152.09,3088.37,1379.62,1487.6,883.89,868.23,238.19,239.49,217.38,229.25,233.24,231.11
144,Atlanta,GA,73820,6133.1,6269.25,3000.98,3139.32,1874.81,1874.68,565.25,568.79,292.04,295.92,181.06,171.95,221.49,220.3
145,Augusta,GA,13315,5848.37,5952.81,3061.09,3094.28,1595.73,1661.38,616.56,614.23,219.07,220.54,131.81,138.9,219.71,222.03
146,Columbus,GA,6951,5327.65,5899.63,2346.12,2698.42,1602.21,1715.38,577.87,627.11,187.83,204.31,418.76,456.04,218.46,217.28
