year,event,strat,geoid,geolab,denom,observed_benes,observed,predicted,obspred_ratio,crude,adj,se,l95,u95,popunit,geotype,suppr_limit,precision_limit
2011,KNREP,ALL,331,OH- ELYRIA,27403,248,250,224.607285071544,1.11305383492066,9.12308871291464,9.12272069473501,0.523987277132476,8.05902808088505,10.3268076545785,1000,hrr,11,26
2011,KNREP,ALL,332,OH- KETTERING,37274,317,330,304.739451535266,1.08289228170974,8.85335622686055,8.88258934250822,0.44408949579236,7.97396030632758,9.89475623110773,1000,hrr,11,26
2011,KNREP,ALL,334,OH- TOLEDO,96550,860,900,783.58967926644,1.14856030370708,9.32159502848265,9.41199987936037,0.285006688203504,8.81650532027314,10.0477160179761,1000,hrr,11,26
2011,KNREP,ALL,335,OH- YOUNGSTOWN,62454,504,521,497.017584030859,1.04825265089143,8.34213981490377,8.58738889641385,0.341697523028644,7.88064232693194,9.35751744578432,1000,hrr,11,26
2011,KNREP,ALL,336,OK- LAWTON,25444,250,266,214.898734301442,1.23779230652367,10.4543310800189,10.1434572378952,0.564846640218735,8.9946945720496,11.4389347979344,1000,hrr,11,26
2011,KNREP,ALL,339,OK- OKLAHOMA CITY,218676,2121,2222,1835.66416406713,1.21046106553439,10.1611516581609,9.92589009363493,0.191479091270771,9.52108188116638,10.3479095527798,1000,hrr,11,26
2011,KNREP,ALL,340,OK- TULSA,151060,1379,1447,1261.68817162076,1.14687609232413,9.57897524162584,9.40406058489187,0.224687482560375,8.93138108286603,9.90175591700743,1000,hrr,11,26
2011,KNREP,ALL,341,OR- BEND,28456,300,317,239.851061490967,1.32165352127048,11.1400056227158,10.8527519064782,0.553647285952755,9.72118463783895,12.116036093493,1000,hrr,11,26
2011,KNREP,ALL,342,OR- EUGENE,75828,624,654,631.68968572903,1.03531847167209,8.62478240227884,8.50131554422645,0.302002908407194,7.87382736132777,9.17881008383182,1000,hrr,11,26
2011,KNREP,ALL,343,OR- MEDFORD,63181,516,538,527.389700240097,1.0201185191047,8.5152181826815,8.37647720556614,0.328056448196906,7.6974925241446,9.11535414361009,1000,hrr,11,26
2011,KNREP,ALL,344,OR- PORTLAND,176460,1334,1387,1451.48800464668,0.95557110741513,7.86013827496316,7.84290476298288,0.191398120971279,7.44047697653078,8.26709837490821,1000,hrr,11,26
