HRR #,HRR name,State,Medicare enrollees (2013),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2013)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2013)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2013)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2013)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2013)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2013)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2013)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2013)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2013)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2013)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2013)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2013)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2013)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2013)"
10,Anchorage,AK,53842,8531.39,6875.1,4142.22,3085.62,2224.4,1903.9,1551.19,1331.85,211.9,182.74,173.7,159.94,128.67,122.94
1,Birmingham,AL,227343,8804.33,10087.25,3653.97,4450.46,2513.03,2677.8,1248.65,1404.44,576.02,653.5,582.07,685.3,250.05,243.09
2,Dothan,AL,48222,8591.95,10056.87,3480.45,4406.55,2452.22,2621.14,1250.65,1432.5,557.84,647.12,631.51,747.99,245.88,235.95
5,Huntsville,AL,71183,8748.09,9921.74,3478.43,4249.79,2777.46,2931.99,1272.81,1405.21,515.49,582.38,465.56,536.37,241.41,231.08
6,Mobile,AL,75398,8405.54,9908.53,3304.75,4288.61,2504.53,2668.74,1206.18,1390.7,573.17,660.8,581,682.06,258.5,246.64
7,Montgomery,AL,43208,8389.85,9672.4,3379.39,4116.41,2248.64,2423.61,1541.85,1748.92,460.8,531.65,525,624.41,244.91,233.49
9,Tuscaloosa,AL,27958,8864.15,9769.66,3882.99,4449.22,2357.87,2526.65,1298.79,1400.5,661.37,722.99,421.64,437.42,241.92,229.72
16,Fort Smith,AR,40358,9133.79,10414.95,4277.37,5152.61,2033.9,2143.23,1309.58,1465.8,917.65,1031.93,393.49,436.83,249.54,240.97
18,Jonesboro,AR,28363,8695.58,9999.84,4245.64,5210.28,1994.15,2098.19,1538.13,1711.6,420.49,474.18,221.29,246.76,277.47,267.6
19,Little Rock,AR,187411,8353.11,9427.78,3816.75,4576.93,2249.88,2368.03,1319.04,1453.98,378.94,422.81,340.75,362.91,244.34,241.68
21,Springdale,AR,47582,7989.9,8696.69,3586.03,4093.54,2183.44,2314.89,1217.36,1284.7,432.01,463.82,296.55,277.19,272.27,262.64
22,Texarkana,AR,30418,9403.87,10732.26,4237.61,5175.3,2231.87,2311.16,1098.65,1210.41,992.91,1098.29,595.73,710.63,281.66,269.58
11,Mesa,AZ,79991,9849.33,9871.12,3938.48,4046.58,3545.81,3576.84,1096.26,1046.27,401.95,383.18,640.56,587.22,212.08,214.81
12,Phoenix,AZ,250201,9243.01,8985.5,3819.2,3674.81,3121.4,3135.58,1174.15,1105.71,322.12,302.82,604.09,564.04,205.49,201.03
14,Sun City,AZ,43708,9442.16,9505.01,3487.51,3666.13,3706.23,3726.68,1177.16,1120.05,353.71,336.59,491.15,435.27,196.79,198.04
15,Tucson,AZ,97290,8124.54,8003.3,3332.3,3265.57,2798.27,2799.4,1165.44,1110.35,281.38,268.09,347.53,359.51,171.81,174.44
23,Orange County,CA,174807,11126.43,10126.84,4742.45,4269.06,3804.99,3545.66,1338.8,1183.28,589.28,520.92,438,385.5,193.9,195.25
25,Bakersfield,CA,65986,9962.51,8964.39,4649.19,3968.67,3110.3,3000.83,1379.84,1203.34,289.67,253.22,276.16,267.63,264.86,272.32
31,Chico,CA,44533,9168.95,8219.67,4615.07,4039.24,2136.45,2048.3,1639.26,1411.06,356.8,313.81,181.26,169.49,241.56,233.84
33,Contra Costa County,CA,58933,10230.34,8139.25,4628.58,3492.11,3119.53,2770.15,1372.13,1016.9,500.51,370.34,453.22,331.9,152.09,151.76
43,Fresno,CA,76753,9402.99,8478.79,4193.08,3602.95,3143.61,3029.44,1360.12,1184.62,293.84,256.75,213.89,202.51,218.18,217.59
56,Los Angeles,CA,469851,13016.75,11509.64,6384.56,5396.01,3799.95,3605.95,1310.5,1158.75,877.79,774.63,367.47,316.89,218.97,218.74
58,Modesto,CA,65951,9556.98,8144.79,4636.9,3658.98,2592.03,2482.16,1528.58,1288,338.33,293.4,250.17,213.66,211.82,201.49
62,Napa,CA,33822,9528.44,7670.25,4744.47,3477.84,2351.65,2190.1,1713.43,1372.8,320.33,269.93,239.42,199.95,153.13,145.95
65,Alameda County,CA,74022,11058.55,8517.06,5627.36,4058.83,2843.63,2519.04,1503.17,1114.69,559.52,415.76,349.61,256.67,147.71,149.4
69,Palm Springs/Rancho Mirage,CA,38385,9932.62,9134.79,3780.06,3451.91,3283.76,3149.34,1851.64,1612.04,349.67,304.32,486.67,434.21,161.12,165.27
73,Redding,CA,51783,8964.11,7629.81,4288.52,3410.82,2413.86,2295.07,1377.03,1141.81,366.71,311.29,289.32,244.79,218.81,208.26
77,Sacramento,CA,173430,9277.98,7802.79,4580.92,3573.46,2454.19,2360.92,1374.3,1114.4,391.49,318.34,314.95,262.67,161.6,165.98
78,Salinas,CA,40657,9420.4,7576.89,4737.79,3558.54,2494.07,2364.57,1264.98,932.4,505.82,373.97,247.65,189.11,164.53,156.53
79,San Bernardino,CA,101146,11017.3,9752.63,5720.96,4805.31,2874.35,2775.4,1185.92,1039.47,536.67,469.72,521.5,481.38,196.59,203.9
80,San Diego,CA,198652,9810.62,8880.24,4617.27,4019.55,2925.6,2840.73,1234.38,1084.42,456.55,400.84,404.47,359.76,174.75,175.54
81,San Francisco,CA,92452,10089.84,7684.21,5011.43,3522.59,2437.69,2157.42,1660.46,1244,516.29,386.97,319.77,244.67,131.5,132.15
82,San Jose,CA,100026,10153.87,7793.03,4725.28,3366.46,2848.76,2502.45,1529.35,1110.96,507.2,372.63,383.46,270.75,154.46,156.58
83,San Luis Obispo,CA,33639,7952.11,7147.86,3005.23,2635.43,3007.54,2835.5,936.51,797.99,539.38,464.09,273.38,234.49,173.02,164.55
85,San Mateo County,CA,52365,9431.18,7295.87,4000.18,2916.18,2634.21,2286.68,1711.67,1255.43,524,386.74,436.28,320,128.09,130.18
86,Santa Barbara,CA,45956,8319.2,7503.74,3372.02,2937.83,3043.56,2899.56,1125.41,974.77,336.8,291.9,264.42,228.75,174.43,166.6
