HSA #,HSA name,State,Medicare enrollees (2013),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2013)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2013)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2013)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2013)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2013)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2013)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2013)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2013)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2013)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2013)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2013)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2013)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2013)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2013)"
2001,Anchorage,AK,21571,7912.49,6624.96,3669.7,2966.95,2340.23,1991.96,1253.35,1080.13,229.55,198.59,229.98,210.44,145.35,139.27
2002,Cordova,AK,228,9958.79,8414.1,4542.37,3798.45,1866.92,1610.99,2885.98,2448.4,,,,,105.8,101.55
2003,Fairbanks,AK,7459,8232.25,6334.74,4187.11,2809.37,2260.3,1957.02,1288.07,1108.76,168.93,147.12,157.39,147.71,94.08,88.17
2004,Homer,AK,1596,10058.75,8015.59,4468.08,3200.85,1593.3,1382.86,3312.07,2811.73,192.62,166.22,,,137.77,130.97
2005,Juneau,AK,3532,7279.59,6217.69,3257.15,2678.66,1804.69,1598.15,1677,1455.3,186.26,161.68,128.44,119.51,89.49,85.86
2006,Ketchikan,AK,1966,8897.86,7283.61,4019.14,3007.06,1854.4,1661.82,2141.67,1841.01,428.67,361.63,,,88.52,84.09
2007,Kodiak,AK,900,11233.24,7997.24,5400.75,3290.3,2757.72,2027.85,2461.83,2120.63,105.44,92.98,,,129.23,123.57
2008,Nome,AK,365,13197.11,8689.86,7081.08,3707.74,1604.86,1240.25,3050.77,2573.79,,,,,231.22,227.01
2009,Palmer,AK,7163,8562.14,6991.43,4271.86,3256.65,2398.6,2064.91,1205.94,1035.75,233.46,201.3,251.02,233.58,162.45,155.12
2010,Petersburg,AK,465,9928.2,8655.59,4637.91,4066.43,1739.62,1565.15,2834.32,2415.19,354.17,298.07,,,65.72,65.32
2011,Seward,AK,390,9289.1,7217.78,4939.99,3472.18,1738.24,1511.66,2290.78,1942.03,,,,,99.81,94.18
2012,Sitka,AK,940,12102.32,9314.36,5341.7,3516.76,1954.51,1693.13,3885.54,3313.31,245.5,207.84,,,90.08,81.19
2013,Soldotna,AK,4464,8515.36,7156.34,4250.11,3479.25,2074.91,1766.6,1640.51,1409.27,233.21,201.45,49.56,50.76,150.74,144.8
2014,Valdez,AK,283,12354.06,8595.98,7269.27,4131.43,1520.2,1298.97,3020.64,2577.11,,,,,138.02,128.39
2015,Wrangell,AK,352,15182.09,12239.57,8198.31,6104.38,2331.27,2144.01,3982.75,3404.44,,,,,64.45,66.4
2016,Barrow,AK,347,11043.91,6566.18,6597.47,2890.49,2012.17,1690.9,1724.44,1458.43,,,,,45.06,44.14
2017,Bethel,AK,1142,8528.63,6340.53,4624.73,3168.41,2415.94,1984.15,1203.35,1013.95,,,,,44.68,42.39
2018,Dillingham,AK,327,16001.58,7019.35,11656.99,3760.24,2008.25,1681,1421.68,1199.75,,,,,99.63,88.86
2019,Kotzebue,AK,352,10400.49,7130.99,5014.71,2706.41,3524.9,2971.3,1651,1390,,,,,33.28,33.14
1001,Alabaster,AL,7407,9375.26,10538.25,3828.31,4602.63,2965.23,3124.32,1089.98,1183,749.33,818.19,536.04,617.9,235.42,241.04
1002,Alexander City,AL,3075,9242.05,10745.48,3205.78,3917.61,2500.74,2713.97,2045.91,2407.18,557.86,661.7,638.24,761.2,300.32,286.72
1003,Andalusia,AL,4019,8856.46,10460.48,3478.13,4480.64,2556.04,2735.06,1319.53,1522.51,820.5,973.46,468.25,554.52,226.19,216.41
1004,Anniston,AL,12962,9198.97,10877.46,3840.91,4977.57,2668.51,2870.49,1251.38,1426.12,631.72,709.44,559.99,672.68,268.73,255.93
1006,Ashland,AL,1680,8941.84,10395.83,3817.81,4767.46,2584.07,2721.23,1485.33,1709.62,504.95,598.53,356.48,430.38,187.77,173.13
1007,Athens,AL,7176,8743.32,9794.68,3304.44,3983.44,2728.26,2883.52,1384.37,1504.46,684.83,757.21,399.88,447.97,238.98,229.95
1008,Atmore,AL,2099,8617.64,10180.6,3313.96,4266.15,2176.38,2279.92,1560.35,1816.07,961.08,1138.94,320.28,382.51,256.16,238.98
1010,Bessemer,AL,7015,8875,9963.61,3674.34,4354.69,2570.37,2751.06,1330.55,1436.61,489.42,527.83,578.38,669.62,257.18,256.9
1011,Birmingham,AL,61808,8484.41,9513.85,3530.46,4173.33,2676.56,2853.6,1132.27,1228.11,452.94,492.94,477.89,549.97,225.77,227.43
1012,Boaz,AL,7733,10082.82,11636.53,4348.19,5317.48,2384.75,2561.63,1700.05,1976.37,854.36,972.5,588.46,633.93,266.2,253.77
1013,Brewton,AL,3279,9335.81,10929.65,3683.5,4674.03,2220.53,2300.84,1662.98,1922.32,1031.66,1225.7,483.16,570.94,260.71,242.73
1014,Bridgeport,AL,1214,10394,11922.73,4632.31,5633.37,2670.9,2823.6,1612.34,1792.34,624.02,736.76,621.55,749.5,273.67,263.58
1016,Camden,AL,897,7094.67,8308.52,2652.7,3297.28,1663.51,1753.64,1228.64,1422.02,458.83,544.58,795.24,967.66,289.91,275.85
1017,Carrollton,AL,1707,8865.29,9687.81,4014.6,4356.15,2072.98,2182.14,1321.28,1484.3,688.21,815.93,421.4,503.65,304.73,290.08
1018,Centre,AL,2991,8891.5,10078.71,3530.85,4226.9,2519.5,2637.31,1098.57,1243.18,911.63,1060.22,663.33,805.75,266.4,254.14
1019,Centreville,AL,973,9790.49,10747.07,4438.53,5035.63,2155.84,2275.25,1686.45,1814.66,1101.53,1181.35,285.78,316.87,137.06,140.71
1022,Cullman,AL,10958,9282.75,10259.05,3723.87,4221.53,2695.96,2779.59,1232.73,1423.24,625.2,723.97,715.91,865.66,318.65,304.05
1023,Dadeville,AL,1483,9399.95,10909.85,3752.69,4502.92,1996.2,2191.37,1801.76,2093.23,854.12,1008.68,847.79,1017.27,257.45,243.38
1024,Decatur,AL,9782,8403.19,9783.56,3229.15,4172.5,2801.22,2915.79,1065.7,1221.35,527.07,620.58,531.56,631.83,262.57,251.23
1025,Demopolis,AL,2332,8448.47,9704.26,3557.9,4330.74,2416.51,2556.01,1201.98,1347.29,400.78,475.55,706.82,829.99,219.31,209.57
