year,event,strat,geoid,geolab,denom,observed_benes,observed,predicted,obspred_ratio,crude,adj,se,l95,u95,popunit,geotype,suppr_limit,precision_limit,nbad
2013,DEFIB,ALL,5165,CA- ORANGE,9749,12,12,16.6125660942219,0.722344755887758,-1.23089547645912,-1.2418977410697,-0.289285894461904,-0.705258634552519,-2.18687148758214,1000,hsa,11,26,0
2013,DEFIB,ALL,5166,CA- OROVILLE,9209,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,5167,CA- OXNARD,14350,21,22,25.2262109157243,0.872108778979829,-1.53310104529617,-1.5010530266354,-0.258251126151566,-0.98831700398019,-2.27979502497405,1000,hsa,11,26,0
2013,DEFIB,ALL,5168,CA- PALM SPRINGS,8116,13,13,15.0644069064674,0.862961288865534,-1.60177427304091,-1.48376916248737,-0.332076511735738,-0.861515776638342,-2.55546211369343,1000,hsa,11,26,0
2013,DEFIB,ALL,5171,CA- PANORAMA CITY,6837,11,11,11.7299862953312,0.937767506546722,-1.60889278923504,-1.61432857224769,-0.392755261196037,-0.893986348772425,-2.91509679398771,1000,hsa,11,26,0
2013,DEFIB,ALL,5172,CA- PARADISE,9626,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,5173,CA- PARAMOUNT,1147,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,5174,CA- PASADENA,17326,20,20,29.5084415542464,0.677772154223506,-1.15433452614568,-1.16991533300509,-0.211098677794902,-0.754746122879479,-1.81345997668539,1000,hsa,11,26,0
2013,DEFIB,ALL,5177,CA- PETALUMA,5604,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,5179,CA- PINOLE,4422,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,5180,CA- PITTSBURG,3068,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,5182,CA- PLACERVILLE,12042,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,5183,CA- POMONA,11436,19,20,19.4668606970665,1.02738701998385,-1.74886323889472,-1.77059205727131,-0.319482018688298,-1.14226365852858,-2.74454694401344,1000,hsa,11,26,0
2013,DEFIB,ALL,5185,CA- PORTERVILLE,7943,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,5186,CA- PORTOLA,1333,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,5187,CA- POWAY,11778,13,13,19.6649678135171,0.661074054291825,-1.1037527593819,-1.13633509783496,-0.254311835411318,-0.659795967991647,-1.95705569178006,1000,hsa,11,26,0
2013,DEFIB,ALL,5188,CA- QUINCY,1135,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,hsa,11,26,0
2013,DEFIB,ALL,5189,CA- RANCHO MIRAGE,28103,33,34,49.7151486762487,0.683896174612939,1.20983524890581,1.17592151521354,0.162756723359406,0.840167129278811,1.64585278542029,1000,hsa,11,26,0
