year,event,strat,geoid,geolab,denom,observed_benes,observed,predicted,obspred_ratio,crude,adj,se,l95,u95,popunit,geotype,suppr_limit,precision_limit,nbad
2013,DEFIB,ALL,51001,VA-Accomack,5794,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,county,11,26,0
2013,DEFIB,ALL,51003,VA-Albemarle,11592,19,19,19.5396017057715,0.972384201382563,-1.63906142167012,-1.69651212924103,-0.310272727107896,-1.08208413741657,-2.65982404245701,1000,county,11,26,0
2013,DEFIB,ALL,51005,VA-Alleghany,1351,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,county,11,26,0
2013,DEFIB,ALL,51007,VA-Amelia,1622,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,county,11,26,0
2013,DEFIB,ALL,51009,VA-Amherst,4629,12,12,8.13053618760158,1.4759174208337,-2.59235255994815,-2.58532419473209,-0.594958977754963,-1.4681602548287,-4.55256922388691,1000,county,11,26,0
2013,DEFIB,ALL,51011,VA-Appomattox,2364,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,county,11,26,0
2013,DEFIB,ALL,51013,VA-Arlington,14121,15,15,23.9558272035856,0.626152454370469,-1.06224771616741,-1.09333732271837,-0.225043011008031,-0.65911183584362,-1.81363227944309,1000,county,11,26,0
2013,DEFIB,ALL,51015,VA-Augusta,7058,19,20,12.2150169429736,1.63732887914696,-2.8336639274582,-2.8512553446581,-0.508273858495944,-1.83941354892726,-4.41970053182577,1000,county,11,26,0
2013,DEFIB,ALL,51017,VA-Bath,1116,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,county,11,26,0
2013,DEFIB,ALL,51019,VA-Bedford,11205,16,16,19.5349917228683,0.819043090828132,-1.42793395805444,-1.42793806474858,-0.284586445329601,-0.874761924306644,-2.33092806179702,1000,county,11,26,0
2013,DEFIB,ALL,51021,VA-Bland,1039,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,county,11,26,0
2013,DEFIB,ALL,51023,VA-Botetourt,4409,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,county,11,26,0
2013,DEFIB,ALL,51025,VA-Brunswick,2384,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,county,11,26,0
2013,DEFIB,ALL,51027,VA-Buchanan,2887,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,county,11,26,0
2013,DEFIB,ALL,51029,VA-Buckingham,1798,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,county,11,26,0
2013,DEFIB,ALL,51031,VA-Campbell,5340,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,county,11,26,0
2013,DEFIB,ALL,51033,VA-Caroline,3188,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,county,11,26,0
2013,DEFIB,ALL,51035,VA-Carroll,3906,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,county,11,26,0
2013,DEFIB,ALL,51036,VA-Charles City,707,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,county,11,26,0
2013,DEFIB,ALL,51037,VA-Charlotte,2385,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,county,11,26,0
2013,DEFIB,ALL,51041,VA-Chesterfield,30376,67,67,51.8836703486201,1.29135042971728,2.20568870160653,2.25650403393725,0.219822528592672,1.77586493281776,2.86722844799683,1000,county,11,26,0
2013,DEFIB,ALL,51043,VA-Clarke,2234,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,county,11,26,0
2013,DEFIB,ALL,51045,VA-Craig,637,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,county,11,26,0
2013,DEFIB,ALL,51047,VA-Culpeper,5749,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,county,11,26,0
2013,DEFIB,ALL,51049,VA-Cumberland,824,0,0,1.5187143447606,0,0,-0.0000025431062441517,-0.00136827293852716,0,-99999,1000,county,11,26,0
2013,DEFIB,ALL,51051,VA-Dickenson,1725,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,county,11,26,0
2013,DEFIB,ALL,51053,VA-Dinwiddie,2209,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,county,11,26,0
2013,DEFIB,ALL,51057,VA-Essex,1880,11,11,3.40484976317994,3.23068586430863,-5.85106382978723,-5.68202325870799,-1.36583696866731,-3.14642119270372,-10.2609874314875,1000,county,11,26,0
2013,DEFIB,ALL,51059,VA-Fairfax,82928,67,68,140.989465579308,0.482305537655574,0.819988423692842,0.840985267440786,0.0813212318000322,0.663026308555183,1.06670913495672,1000,county,11,26,0
2013,DEFIB,ALL,51061,VA-Fauquier,7598,13,13,13.2175509130989,0.983540754673143,-1.71097657278231,-1.71706409954821,-0.379639051086068,-0.996986430254935,-2.95722091343149,1000,county,11,26,0
2013,DEFIB,ALL,51063,VA-Floyd,2203,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,county,11,26,0
2013,DEFIB,ALL,51065,VA-Fluvanna,3552,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,county,11,26,0
2013,DEFIB,ALL,51067,VA-Franklin,7267,14,14,12.6927227088646,1.10299423702232,-1.92651713224164,-1.92337548940158,-0.409788294563273,-1.13907746733284,-3.24769243473219,1000,county,11,26,0
2013,DEFIB,ALL,51069,VA-Frederick,9828,26,26,16.9456143359616,1.53432029577254,2.64550264550265,2.67192732196407,0.417762679319117,1.81913517474459,3.92449979142447,1000,county,11,26,0
2013,DEFIB,ALL,51071,VA-Giles,2639,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,county,11,26,0
2013,DEFIB,ALL,51073,VA-Gloucester,4969,11,11,8.55657017650971,1.28556182828936,-2.21372509559267,-2.24487048729687,-0.539567150905726,-1.24316780560708,-4.053711399223,1000,county,11,26,0
2013,DEFIB,ALL,51075,VA-Goochland,2735,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,county,11,26,0
2013,DEFIB,ALL,51077,VA-Grayson,2426,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,county,11,26,0
2013,DEFIB,ALL,51079,VA-Greene,2269,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,county,11,26,0
2013,DEFIB,ALL,51081,VA-Greensville,2103,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,county,11,26,0
2013,DEFIB,ALL,51083,VA-Halifax,6168,12,12,10.6326255597422,1.12860176751027,-1.94552529182879,-1.98442950610501,-0.456703187627092,-1.12688400592494,-3.49455706531918,1000,county,11,26,0
2013,DEFIB,ALL,51085,VA-Hanover,11639,28,28,19.9203079467295,1.40560076053428,2.40570495747057,2.45491840361102,0.369865194547707,1.69493487312097,3.55566721999821,1000,county,11,26,0
2013,DEFIB,ALL,51087,VA-Henrico,31887,42,42,52.5674431120318,0.798973613962724,1.31715119014018,1.39791483591724,0.171977786293408,1.03302326782825,1.89169590786257,1000,county,11,26,0
2013,DEFIB,ALL,51089,VA-Henry,5567,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,county,11,26,0
2013,DEFIB,ALL,51091,VA-Highland,526,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,county,11,26,0
2013,DEFIB,ALL,51093,VA-Isle of Wight,4463,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,county,11,26,0
2013,DEFIB,ALL,51095,VA-James City,16314,28,28,28.9792600224352,0.966208246115426,1.71631727350742,1.68682354399316,0.254148616137597,1.16461204214206,2.44319444210468,1000,county,11,26,0
2013,DEFIB,ALL,51097,VA-King and Queen,1015,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,county,11,26,0
2013,DEFIB,ALL,51099,VA-King George,2280,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,county,11,26,0
2013,DEFIB,ALL,51101,VA-King William,1965,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,county,11,26,0
2013,DEFIB,ALL,51103,VA-Lancaster,3626,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,county,11,26,0
2013,DEFIB,ALL,51105,VA-Lee,2485,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1000,county,11,26,0
