HRR,HRR Name,State,Medicare enrollees (20% sample) (2006),"Pacemaker placement (inpatient & outpatient) per 1,000 Medicare enrollees (2006)"
1,Birmingham,AL,45366,6.08026
2,Dothan,AL,9463,7.88864
5,Huntsville,AL,13130,5.22657
6,Mobile,AL,15313,6.78743
7,Montgomery,AL,8325,5.63634
9,Tuscaloosa,AL,5583,5.76249
10,Anchorage,AK,7951,6.71868
11,Mesa,AZ,12510,4.8573
12,Phoenix,AZ,39701,6.15899
14,Sun City,AZ,8708,6.81172
15,Tucson,AZ,17397,4.12171
16,Fort Smith,AR,8168,5.84796
18,Jonesboro,AR,5567,6.00993
19,Little Rock,AR,37484,7.3402
21,Springdale,AR,8965,5.65125
22,Texarkana,AR,6443,7.76541
23,Orange Co.,CA,31364,6.61632
25,Bakersfield,CA,12096,8.15292
31,Chico,CA,8020,4.09631
33,Contra Costa Co.,CA,10126,6.46341
43,Fresno,CA,14797,6.35114
56,Los Angeles,CA,100424,5.17707
58,Modesto,CA,11768,3.86863
62,Napa,CA,5796,7.41514
65,Alameda Co.,CA,14105,4.59697
69,Palm Spr/Rancho Mirage,CA,7076,4.33731
73,Redding,CA,8991,4.68451
77,Sacramento,CA,30353,4.50655
78,Salinas,CA,6709,6.00908
79,San Bernardino,CA,20379,6.15222
80,San Diego,CA,37324,5.71801
81,San Francisco,CA,17925,3.95292
82,San Jose,CA,17510,4.46073
83,San Luis Obispo,CA,5638,3.08323
85,San Mateo Co.,CA,9005,4.32932
86,Santa Barbara,CA,7458,6.49293
87,Santa Cruz,CA,3950,-5.96931
89,Santa Rosa,CA,6627,8.71481
91,Stockton,CA,7078,5.06117
96,Ventura,CA,11333,5.10521
101,Boulder,CO,3058,-5.99647
102,Colorado Springs,CO,12367,5.90369
103,Denver,CO,25826,5.34246
104,Fort Collins,CO,5494,5.10278
105,Grand Junction,CO,4838,n/a
106,Greeley,CO,5827,3.31731
107,Pueblo,CO,3454,-5.55147
109,Bridgeport,CT,13101,5.86337
110,Hartford,CT,34298,5.8675
111,New Haven,CT,30966,4.7875
112,Wilmington,DE,16154,5.51679
113,Washington,DC,41344,4.25991
115,Bradenton,FL,7692,6.64898
116,Clearwater,FL,11800,5.72331
118,Fort Lauderdale,FL,54050,6.80949
119,Fort Myers,FL,33731,4.76682
120,Gainesville,FL,12270,4.99936
122,Hudson,FL,10967,6.67756
123,Jacksonville,FL,28021,7.02771
124,Lakeland,FL,6952,5.08203
127,Miami,FL,32180,6.03351
129,Ocala,FL,21801,7.82714
130,Orlando,FL,71036,6.43352
131,Ormond Beach,FL,9875,5.36255
133,Panama City,FL,5303,6.41381
134,Pensacola,FL,17556,6.97652
137,Sarasota,FL,16873,4.86795
139,St Petersburg,FL,8361,5.03037
140,Tallahassee,FL,13555,5.69437
141,Tampa,FL,16765,3.68866
142,Albany,GA,4249,-2.84378
144,Atlanta,GA,78650,4.5384
145,Augusta,GA,13067,7.66246
146,Columbus,GA,5995,5.07096
147,Macon,GA,14569,8.3958
148,Rome,GA,6153,5.85049
149,Savannah,GA,16724,3.9229
150,Honolulu,HI,17288,3.62063
151,Boise,ID,12757,4.16976
152,Idaho Falls,ID,3823,-3.1729
154,Aurora,IL,3545,-6.87514
155,Blue Island,IL,18104,5.4465
156,Chicago,IL,36539,4.44992
158,Elgin,IL,11176,5.18358
161,Evanston,IL,23297,4.03731
163,Hinsdale,IL,7629,3.36939
164,Joliet,IL,11871,5.01354
166,Melrose Park,IL,23838,4.41459
170,Peoria,IL,16031,4.75519
171,Rockford,IL,15968,4.19468
172,Springfield,IL,23419,4.76403
173,Urbana,IL,9143,4.54435
175,Bloomington,IL,3381,-4.81959
179,Evansville,IN,17143,5.53662
180,Fort Wayne,IN,17176,6.47808
181,Gary,IN,11700,6.58756
183,Indianapolis,IN,56746,4.83041
184,Lafayette,IN,3630,-4.05561
185,Muncie,IN,4411,-3.01738
186,Munster,IN,7102,8.33213
187,South Bend,IN,14571,4.08699
188,Terre Haute,IN,4484,-5.50598
190,Cedar Rapids,IA,6221,6.19229
191,Davenport,IA,11985,5.29931
192,Des Moines,IA,24427,5.50217
193,Dubuque,IA,2632,n/a
194,Iowa City,IA,7081,3.3713
195,Mason City,IA,4757,-5.90045
196,Sioux City,IA,6394,3.82482
197,Waterloo,IA,4711,-4.2573
200,Topeka,KS,10307,4.81824
201,Wichita,KS,30865,7.40359
