HRR Number,HRR Name,Medicare enrollees (2008),Total Mortality: ASR-adjusted % of deaths among Medicare enrollees (2008),Non-HMO Mortality: ASR-adjusted % of deaths among Medicare enrollees without HMO coverage (2008)
307,NY-Syracuse,140619,4.84656289902624,5.10215797528348
308,NY-White Plains,145913,4.09828375706322,4.29152799010036
325,OH-Akron,93747,5.09874301240231,5.46783983555127
326,OH-Canton,94493,5.00237231654288,5.59880928845977
327,OH-Cincinnati,200743,5.16350838156637,5.3162864393472
328,OH-Cleveland,302570,4.82382120265295,5.12261358914199
329,OH-Columbus,350072,5.23766945583825,5.5422230742325
330,OH-Dayton,151327,5.05091104592153,5.16832454374165
331,OH-Elyria,35095,4.93547723467668,5.01821263779687
332,OH-Kettering,59917,4.85445807475003,5.10858237631457
334,OH-Toledo,130997,5.15400390290836,5.41585246333309
335,OH-Youngstown,110306,5.00304642860356,5.44290639127566
336,OK-Lawton,24547,5.95680103386756,6.05092063639777
339,OK-Oklahoma City,227198,5.57159397664375,5.78108036596655
340,OK-Tulsa,173567,5.73559621683496,6.08258621905491
341,OR-Bend,32305,4.39199156004936,4.63146929135751
342,OR-Eugene,111121,4.68728986719105,4.84147540660645
343,OR-Medford,76294,4.818250869098,5.07476025293988
344,OR-Portland,300355,4.70634567568103,5.00416120141233
345,OR-Salem,39166,4.84584270088621,4.96105825817295
346,PA-Allentown,174231,4.63107875320088,4.8632671120031
347,PA-Altoona,49455,5.13092176963807,5.8867219332255
350,PA-Danville,84064,5.13722091813208,5.68484992825552
351,PA-Erie,114075,5.22451727943809,5.65981596968401
352,PA-Harrisburg,148614,4.81558047850447,5.18866681924042
354,PA-Johnstown,41661,4.88704304944518,5.94796720750205
355,PA-Lancaster,90090,4.56754441286125,4.76822627839093
356,PA-Philadelphia,527604,4.72651506582899,5.01688106381499
357,PA-Pittsburgh,489956,5.11441421145087,5.75168419118361
358,PA-Reading,84650,4.8298311479359,5.14890749353118
359,PA-Sayre,30988,5.1063716749157,5.37381619655742
360,PA-Scranton,54926,5.34748592652473,5.67639371596946
362,PA-Wilkes-Barre,42121,5.24457547695465,5.55936180408737
363,PA-York,59696,4.80157835392584,5.0426833554898
364,RI-Providence,163131,4.68563922780471,4.91027261589712
