HRR Name,State,Percent of Medicare beneficiaries with diabetes and PAD readmitted within 30 days following revascularization procedure,Black - Amputation-free survival after any vascular procedure among patients with diabetes and PAD,Non-black - Amputation-free survival after any vascular procedure among patients with diabetes and PAD,Black - Re-intervention-free survival after any vascular procedure among patients with diabetes and PAD,Non-black - Re-intervention-free survival after any vascular procedure among patients with diabetes and PAD
Birmingham,AL,15,71.81,77.87,51.01,58.93
Dothan,AL,19.4,,76.21,,50.34
Huntsville,AL,14,,78.62,,56.91
Mobile,AL,19.8,69.3,77.64,46.43,53.92
Montgomery,AL,25.4,,,,
Tuscaloosa,AL,18.2,,74.01,,47.25
Anchorage,AK,14.9,,72.33,,50.16
Mesa,AZ,15.8,,76.33,,52.2
Phoenix,AZ,18.2,,78.17,,53
Sun City,AZ,18.5,,73.56,,48.42
Tucson,AZ,20.8,,69.19,,46.88
Fort Smith,AR,16.6,,74.19,,58.15
Jonesboro,AR,16.9,,78.96,,53.51
Little Rock,AR,17,70.69,77.85,44.74,53.09
Springdale,AR,17.5,,74.83,,53.25
Texarkana,AR,18.4,,81.93,,64.98
Orange County,CA,18.3,,73.02,,51.57
Bakersfield,CA,18.1,,71.76,,44.28
Chico,CA,13.8,,79.45,,51.63
Contra Costa County,CA,15.5,,69.87,,46.21
Fresno,CA,18.1,,74.09,,51.98
Los Angeles,CA,19.1,69.37,74.25,41.96,48.79
Modesto,CA,14.3,,79.6,,48.96
Napa,CA,15.3,,74.64,,45.89
Alameda County,CA,16.7,,73.38,,48.63
Palm Springs/Rancho Mirage,CA,16.3,,70.29,,56.03
Redding,CA,10.4,,79.33,,54.14
Sacramento,CA,16.6,,73.56,,50.2
Salinas,CA,15.3,,66.73,,48.75
San Bernardino,CA,15.6,,74.23,,49.87
San Diego,CA,17,,74.04,,50.91
San Francisco,CA,18.7,,75.4,,51.21
San Jose,CA,14.1,,74.8,,49.1
San Luis Obispo,CA,17.3,,,,
San Mateo County,CA,19.2,,72.37,,44.65
Santa Barbara,CA,15.5,,74.33,,55.11
Santa Cruz,CA,12.6,,76.26,,64.96
Santa Rosa,CA,15,,76.44,,54.58
Stockton,CA,15.9,,80.14,,46.18
Ventura,CA,16.2,,77.48,,48.67
Colorado Springs,CO,15.1,,74.16,,56.59
Denver,CO,18,,70.26,,51.67
Fort Collins,CO,12.6,,,,
Greeley,CO,15.9,,,,
Pueblo,CO,20.7,,,,
Bridgeport,CT,16,,70.11,,46.21
Hartford,CT,20.1,,70.76,,47.62
New Haven,CT,19.9,,68.22,,46.66
Wilmington,DE,18.1,71.1,73.85,46.49,47.11
Washington,DC,16.7,73.55,73.36,41.79,51.14
Bradenton,FL,16.1,,79.73,,44.49
Clearwater,FL,14.1,,79.51,,52.08
Fort Lauderdale,FL,17.6,66.5,75.87,44.64,52.47
Fort Myers,FL,14.9,,78.42,,57.71
Gainesville,FL,15.2,,80.88,,51.53
Hudson,FL,17.8,,75.48,,55.98
Jacksonville,FL,15.7,70.12,75.3,46.48,52.25
Lakeland,FL,15.7,,73.66,,51.44
Miami,FL,19.1,67.44,70.49,42.74,48.18
Ocala,FL,10.9,,82.82,,56.26
Orlando,FL,15.6,67.28,77.24,53.07,54.42
Ormond Beach,FL,14.5,,76.65,,53.42
Panama City,FL,13.4,,77.23,,46.11
Pensacola,FL,18,71.59,80.12,42.4,45.73
Sarasota,FL,15.1,,82.85,,56.59
St. Petersburg,FL,16,,78.82,,57.93
Tallahassee,FL,16.3,67.91,78.03,46,54.73
Tampa,FL,19.2,,79.64,,59.18
Albany,GA,18.6,,,,
Atlanta,GA,17.7,67.55,76.44,43.49,52.27
Augusta,GA,19.3,65.66,75.55,38.06,48.72
Columbus,GA,20.4,,70.24,,46.03
Macon,GA,15,60.46,75.77,41.2,55.43
Rome,GA,17,,71.49,,50.68
Savannah,GA,14.3,53.65,74.22,41.81,52.06
Honolulu,HI,24.2,,67.94,,47.97
Boise,ID,17.8,,71.71,,53.89
Idaho Falls,ID,13.9,,,,
Aurora,IL,16.3,,75.92,,44.85
Blue Island,IL,23.6,67.56,77.22,48.18,48.65
Chicago,IL,23.6,67.91,76.49,47.42,50.41
Elgin,IL,24.3,,74.6,,46.77
Evanston,IL,23,,72.43,,51.42
Hinsdale,IL,16,,76.83,,48.8
Joliet,IL,20.9,,76.53,,49.09
Melrose Park,IL,19.1,,75.23,,47.03
Peoria,IL,14,,76.19,,48.98
Rockford,IL,18,,81.77,,57.83
Springfield,IL,16.8,,78.86,,54.57
Urbana,IL,17.3,,76.65,,48.55
Bloomington,IL,13.8,,73.49,,50.46
Evansville,IN,20.7,,69.93,,50.01
Fort Wayne,IN,16.4,,72.09,,48.77
Gary,IN,20.3,76.22,75.19,41.61,43.73
Indianapolis,IN,21.6,65.14,76.76,36.03,46.6
Lafayette,IN,20,,76.34,,51.82
Muncie,IN,24,,74.29,,52.7
Munster,IN,24.3,,78.35,,40.08
South Bend,IN,17.7,,71.93,,48.74
Terre Haute,IN,19,,81.47,,40.47
Cedar Rapids,IA,12.7,,73.48,,51.71
Davenport,IA,14.4,,82.58,,51.38
Des Moines,IA,18.4,,75.8,,54.47
Dubuque,IA,13.9,,,,
Iowa City,IA,14.2,,78.16,,56.86
Mason City,IA,17.1,,,,
Sioux City,IA,30.7,,69.7,,42.98
Waterloo,IA,16.2,,,,
Topeka,KS,15.8,,76.8,,55.12
Wichita,KS,15.3,,79.62,,50.26
Covington,KY,19.7,,71.98,,55.48
Lexington,KY,16,,77.62,,56.64
Louisville,KY,20.4,63.63,74.39,43.43,53.39
Owensboro,KY,12.3,,83.18,,68.46
Paducah,KY,28.8,,74.51,,48.59
Alexandria,LA,15.8,,75.14,,49.43
Baton Rouge,LA,17.1,64.44,73.8,39.65,50.88
Houma,LA,12.9,,77.44,,56.5
Lafayette,LA,18.5,70.57,76.9,39.95,46.34
Lake Charles,LA,19.7,,80.54,,48.46
Metairie,LA,18.2,,73.56,,50.93
Monroe,LA,16.9,,77.5,,53.33
New Orleans,LA,13.9,70.51,70.14,48.95,48.45
Shreveport,LA,19.8,68.37,75.01,46.45,47.18
Slidell,LA,20.4,,,,
Bangor,ME,16.7,,71.34,,52.23
Portland,ME,21.5,,76.87,,49.52
Baltimore,MD,23.6,66.3,73.62,42.02,47.16
Salisbury,MD,15.9,,78.01,,53.14
Takoma Park,MD,19.1,68.49,76.18,39.72,51.7
Boston,MA,20.7,73.69,74.49,51.15,50.06
Springfield,MA,20.4,,70.1,,51.2
Worcester,MA,25.9,,70,,46.77
Ann Arbor,MI,14.3,,77.93,,50.57
Dearborn,MI,17.4,,77.82,,48.6
Detroit,MI,19.6,72.41,73.55,40.62,49.3
Flint,MI,16,,72.85,,52.06
Grand Rapids,MI,15.5,,74.4,,47.67
Kalamazoo,MI,17.6,,75.41,,49.94
Lansing,MI,15.5,,76.79,,52.32
Marquette,MI,14.4,,75.62,,52.2
Muskegon,MI,19.8,,75.03,,42.77
Petoskey,MI,13.8,,76.99,,46.59
Pontiac,MI,17.6,,77.74,,53.39
Royal Oak,MI,19,,75.26,,50
Saginaw,MI,15.7,,77.14,,49.07
St. Joseph,MI,11.5,,82.64,,57.83
Traverse City,MI,17.3,,81.88,,50.64
Duluth,MN,16.4,,73.66,,55.38
Minneapolis,MN,22,,73.76,,54.05
Rochester,MN,15.1,,71.81,,56.38
St. Cloud,MN,25.8,,,,
St. Paul,MN,20.2,,72.59,,52.53
Gulfport,MS,20.6,,75.6,,56.62
Hattiesburg,MS,13.8,,76.45,,56.39
Jackson,MS,16.6,60.6,75.15,48.08,54.32
Meridian,MS,13.8,,,,
Oxford,MS,21.3,,,,
Tupelo,MS,12.1,,82.02,,62.4
Cape Girardeau,MO,17.6,,75.55,,57.53
Columbia,MO,20.1,,77.26,,53.68
Joplin,MO,20.7,,72.38,,51.4
Kansas City,MO,18.1,68.58,75.19,47.72,52.6
Springfield,MO,17.6,,79,,51.64
St. Louis,MO,18.7,63.14,75.21,45.66,53.37
Billings,MT,19.1,,75.8,,61.31
Great Falls,MT,22.6,,,,
Missoula,MT,12.8,,76.7,,60.21
Lincoln,NE,19.9,,71.51,,47.95
Omaha,NE,19.4,,75.2,,56.54
Las Vegas,NV,15.3,,79.21,,56.35
Reno,NV,12.9,,77.51,,49.48
Lebanon,NH,18,,72.52,,53.21
Manchester,NH,17.9,,77.85,,54.16
Camden,NJ,18.4,69.34,73.36,47.47,50.73
Hackensack,NJ,17.9,,70.81,,47.94
Morristown,NJ,19.1,,71.37,,50.1
New Brunswick,NJ,18.6,,73.15,,54.05
Newark,NJ,19.2,67.17,69.24,44.85,49.16
Paterson,NJ,15.1,,73.65,,46.49
Ridgewood,NJ,20.1,,68.22,,46.25
Albuquerque,NM,17,,70.88,,53.11
Albany,NY,23.1,,73.35,,44.74
Binghamton,NY,15.7,,72.55,,51.15
Bronx,NY,22.4,64.94,67.04,36.02,40.95
Buffalo,NY,16.8,,70.19,,49.07
Elmira,NY,19.9,,71.59,,49.72
East Long Island,NY,18.7,67.05,72.57,38.31,46.45
Manhattan,NY,20.6,63.61,73.94,34.8,43.57
Rochester,NY,18.1,,69.58,,54.45
Syracuse,NY,16.9,,76.36,,47.66
White Plains,NY,19.3,,69.5,,46.08
Asheville,NC,21.1,,75.04,,59.08
Charlotte,NC,16,69.36,78.48,52.81,57.05
Durham,NC,16.1,64.69,74.37,46.37,53.88
Greensboro,NC,17.8,,72.06,,52.98
Greenville,NC,16.2,65.72,73.2,50.23,53.8
Hickory,NC,15.8,,72.88,,50.98
Raleigh,NC,16.2,67.81,77.04,44.13,53.61
Wilmington,NC,14.7,73.36,78.48,51.59,55.21
Winston-Salem,NC,21.3,,75.96,,60.38
Bismarck,ND,18.1,,77.31,,59.8
Fargo/Moorhead MN,ND,22.8,,70.77,,47.97
Grand Forks,ND,23.1,,,,
Minot,ND,20.1,,,,
Akron,OH,19,,67.81,,49.06
Canton,OH,21.7,,67.47,,49.09
Cincinnati,OH,18.6,67.44,73.33,41.38,46.96
Cleveland,OH,21.2,66.99,69.43,40.29,44.76
Columbus,OH,20,68.56,74.77,43.65,48.62
Dayton,OH,17.4,,76.71,,52.87
Elyria,OH,23.9,,77.8,,49.46
Kettering,OH,12.1,,75.69,,54
Toledo,OH,20,,75.38,,50.04
Youngstown,OH,19,,70.85,,51.06
Lawton,OK,15.8,,74.36,,51.02
Oklahoma City,OK,16.8,,75.24,,56.18
Tulsa,OK,17.7,,72.19,,51.9
Bend,OR,19.7,,,,
Eugene,OR,19.7,,75.03,,52.67
Medford,OR,23.1,,74.77,,37.93
Portland,OR,20.4,,73.38,,48.12
Salem,OR,18.6,,,,
Allentown,PA,19.3,,70.43,,47.31
Altoona,PA,12.8,,73.68,,53.84
Danville,PA,21.5,,70.19,,49.36
Erie,PA,15,,73.27,,53.64
Harrisburg,PA,16,,72.16,,52.04
Johnstown,PA,17.4,,,,
Lancaster,PA,16.1,,76.07,,53.31
Philadelphia,PA,20.1,64.38,73.41,43.09,50.26
Pittsburgh,PA,20.5,,70.12,,46.43
Reading,PA,18.9,,73.14,,46.98
Sayre,PA,19.9,,80.86,,58.67
Scranton,PA,18.8,,77.43,,52.97
Wilkes-Barre,PA,18.1,,73.48,,50.4
York,PA,12.8,,74.85,,54.42
Providence,RI,18.9,,69.36,,49.75
Charleston,SC,17.6,62.23,78.67,52.51,58.45
Columbia,SC,14.1,66.64,79.77,52.11,59.66
Florence,SC,14.5,68.87,70.5,54.96,50.09
Greenville,SC,14.8,,79.81,,59.75
Spartanburg,SC,16.7,,71.83,,55.31
Rapid City,SD,10.5,,,,
Sioux Falls,SD,29.4,,73.19,,47.36
Chattanooga,TN,15.8,,74.7,,50.88
Jackson,TN,14.1,,73.86,,53.79
Johnson City,TN,26.3,,79.44,,58.01
Kingsport,TN,16.2,,75.27,,65.16
Knoxville,TN,17,,73.45,,52.83
Memphis,TN,15.1,70.13,78.06,42.79,53.77
Nashville,TN,19.8,67.9,75.94,48.89,51.74
Abilene,TX,12.8,,77.76,,61.29
Amarillo,TX,17.5,,79.7,,52.2
Austin,TX,14.5,,77.57,,59.09
Beaumont,TX,13.3,71.88,77.7,47.56,52.44
Bryan,TX,16.2,,,,
Corpus Christi,TX,16.4,,75.37,,43.56
Dallas,TX,17.1,60.99,73.56,39.09,49.65
El Paso,TX,17.9,,72.58,,41.01
Fort Worth,TX,16.8,68.25,74.37,49.41,51.19
Harlingen,TX,13.6,,73.14,,49.51
Houston,TX,16.8,65.26,74.69,45.5,52.34
Longview,TX,15.3,,,,
Lubbock,TX,17.8,,77.48,,53.93
McAllen,TX,14.6,,79.79,,52.52
Odessa,TX,17.8,,73.23,,52.56
San Angelo,TX,19,,77.26,,52.3
San Antonio,TX,20.5,,70.51,,46.19
Temple,TX,16.4,,77.74,,53.83
Tyler,TX,19.1,,75.58,,45.76
Victoria,TX,19.8,,74.07,,59
Waco,TX,14.3,,78.75,,57.98
