HRR Name,State,Percent of Medicare beneficiaries with diabetes and PAD readmitted within 30 days following revascularization procedure,Black - Amputation-free survival after any vascular procedure among patients with diabetes and PAD,Non-black - Amputation-free survival after any vascular procedure among patients with diabetes and PAD,Black - Re-intervention-free survival after any vascular procedure among patients with diabetes and PAD,Non-black - Re-intervention-free survival after any vascular procedure among patients with diabetes and PAD
Wichita Falls,TX,14.3,,81.86,,60.45
Ogden,UT,11.8,,,,
Provo,UT,17.2,,,,
Salt Lake City,UT,15.1,,73.35,,53.94
Burlington,VT,20.7,,75.01,,54.28
Arlington,VA,16.1,62.19,72.59,41.02,51.51
Charlottesville,VA,23.7,,79.11,,54.91
Lynchburg,VA,19,,68.06,,53.63
Newport News,VA,13.6,67.07,75.15,45.36,52.89
Norfolk,VA,15.3,65.92,75.62,49.49,52.77
Richmond,VA,17.6,65.7,74.82,40.45,55.23
Roanoke,VA,27.6,,67.74,,44.21
Winchester,VA,12.3,,79.97,,59.18
Everett,WA,19.3,,71.63,,46.59
Olympia,WA,21.1,,67.17,,42.12
Seattle,WA,17.1,,76.14,,46.91
Spokane,WA,20.4,,72.82,,47.71
Tacoma,WA,15.8,,72.06,,55.12
Yakima,WA,16.2,,83.35,,61.18
Charleston,WV,17.9,,74.35,,53.1
Huntington,WV,16.1,,76.86,,53.91
Morgantown,WV,22,,75.9,,51.76
Appleton,WI,24.9,,64.87,,40.73
Green Bay,WI,20.1,,73.06,,46.75
La Crosse,WI,20.3,,,,
Madison,WI,17,,74.07,,54.25
Marshfield,WI,22.9,,76.65,,53.69
Milwaukee,WI,18.8,67.15,73.51,51.24,50.14
Neenah,WI,27.3,,,,
Wausau,WI,20,,77.7,,52.22
Casper,WY,20.4,,,,
