HRR Number,HRR Name,Medicare enrollees (2001),Total Mortality: ASR-adjusted % of deaths among Medicare enrollees (2001),Non-HMO Mortality: ASR-adjusted % of deaths among Medicare enrollees without HMO coverage (2001)
10,AK-Anchorage                 ,35330,5.42280791354772,5.4872268531463
1,AL-Birmingham                ,277238,5.9771608285393,6.13389438468528
2,AL-Dothan                    ,47649,5.71677772617292,5.76681523948417
5,AL-Huntsville                ,62451,5.64963153957233,5.70308229562549
6,AL-Mobile                    ,90576,5.69060736015041,5.84628424074913
7,AL-Montgomery                ,50217,5.58590110815139,5.62704659871925
9,AL-Tuscaloosa                ,28401,5.7446504452088,5.79542538609054
16,AR-Fort Smith                ,44978,5.92550066750592,6.07377952244665
18,AR-Jonesboro                 ,30696,5.9852051887156,6.06390208912898
19,AR-Little Rock               ,196439,5.69245721601514,5.81537265213264
21,AR-Springdale                ,50442,5.38197467046323,5.45846479662091
22,AR-Texarkana                 ,33725,5.84329878728215,5.90656895608439
11,AZ-Mesa                      ,102908,5.03084422093199,4.9777391899584
12,AZ-Phoenix                   ,273244,5.30848107095679,5.2948760490483
14,AZ-Sun City                  ,74369,4.13793592480826,4.18317881825745
15,AZ-Tucson                    ,136387,5.00234845966029,5.19649257942944
65,CA-Alameda County            ,133840,4.8554262755965,5.25997428272772
25,CA-Bakersfield               ,83084,5.60216781144525,5.92036201013443
31,CA-Chico                     ,42051,5.40836903079707,5.73614495663296
33,CA-Contra Costa County       ,94377,4.81395566389104,5.3224401281845
43,CA-Fresno                    ,96853,4.99848930584896,5.352688375522
56,CA-Los Angeles               ,817737,4.72431343954044,4.95339118852772
58,CA-Modesto                   ,80208,5.31193467310942,5.62904488563677
62,CA-Napa                      ,37931,5.45663215314728,5.85345826180763
23,CA-Orange County             ,277477,4.77409495123544,4.85787928783999
69,CA-Palm Springs/Rancho Mirage ,54999,4.65686714964661,4.81897270478686
73,CA-Redding                   ,45492,5.44687318850512,5.51379447740827
77,CA-Sacramento                ,245446,5.06078083617537,5.57994318548063
78,CA-Salinas                   ,36277,4.71403847964339,4.77993985678858
79,CA-San Bernardino            ,228874,5.57440345432402,6.38752897200755
80,CA-San Diego                 ,331948,4.92713222368001,5.39989153332618
81,CA-San Francisco             ,158599,4.63084727121302,4.93114544980719
82,CA-San Jose                  ,137499,4.61699584036222,4.9476629298374
83,CA-San Luis Obispo           ,32127,4.68330199383064,4.83051236482572
85,CA-San Mateo County          ,86486,4.53158684445052,4.76195002165406
86,CA-Santa Barbara             ,50009,4.60654289095589,4.92304521838491
87,CA-Santa Cruz                ,24186,5.09813438763239,5.32369127104538
89,CA-Santa Rosa                ,55570,4.919866964387,5.62450005991661
91,CA-Stockton                  ,46832,5.34786282535769,5.79931236960584
96,CA-Ventura                   ,77558,4.67813627779091,4.86537467100269
101,CO-Boulder                   ,20990,4.72082308346169,5.06543053535749
102,CO-Colorado Springs          ,71633,5.16946475451842,5.37864834552667
103,CO-Denver                    ,217611,5.1531930192053,5.3975368030739
104,CO-Fort Collins              ,27744,4.96001326806107,5.03376809003734
105,CO-Grand Junction            ,34474,4.96220611410357,5.15427468931326
106,CO-Greeley                   ,32628,5.19848782950347,5.40314316192701
107,CO-Pueblo                    ,22410,5.03677560407566,5.40625462925441
109,CT-Bridgeport                ,86899,4.7196228010038,4.96541486352849
110,CT-Hartford                  ,191489,4.98447575670137,5.24308740079322
111,CT-New Haven                 ,182066,4.93327906762784,5.2719628692109
113,DC-Washington                ,236405,5.05725022173306,5.09163719001859
112,DE-Wilmington                ,80908,5.62691013116588,5.69882315742527
115,FL-Bradenton                 ,49212,4.85401904861032,4.92361442101855
116,FL-Clearwater                ,101267,5.08563393426115,5.25755184330131
118,FL-Fort Lauderdale           ,436175,4.4409573912848,4.52826553970815
119,FL-Fort Myers                ,187328,4.45060570269712,4.54729542037442
120,FL-Gainesville               ,58626,5.93008008316642,6.09097964376352
122,FL-Hudson                    ,94252,5.11659387895671,5.23589938414361
123,FL-Jacksonville              ,146709,5.81989438441685,6.07956471095257
124,FL-Lakeland                  ,46516,5.23665385709175,5.24307174319859
127,FL-Miami                     ,343753,4.87412876128884,5.50626435037932
129,FL-Ocala                     ,100384,4.88099161984881,4.96317915080727
130,FL-Orlando                   ,436659,5.05631399697698,5.21760562785998
131,FL-Ormond Beach              ,73685,4.98250861231004,5.1872331682999
133,FL-Panama City               ,25494,5.68465896703453,5.75494336360759
134,FL-Pensacola                 ,88907,5.62252072909342,5.84144750840587
137,FL-Sarasota                  ,99042,4.1840268975305,4.25415978714392
139,FL-St. Petersburg            ,73006,5.78632966058937,6.15777625066535
140,FL-Tallahassee               ,78985,5.78816275952453,5.93764368389503
141,FL-Tampa                     ,127891,5.46519016253642,5.60444896438461
142,GA-Albany                    ,22384,5.6733055234993,5.69982301227742
144,GA-Atlanta                   ,406249,5.66489441588598,5.71551383747666
145,GA-Augusta                   ,67773,5.87999278840752,5.92156429037278
146,GA-Columbus                  ,35446,5.7756774172941,5.81110480365926
147,GA-Macon                     ,75367,5.99509012591833,6.04216751088829
148,GA-Rome                      ,32431,5.95505757448808,5.95670774887363
149,GA-Savannah                  ,78814,5.64570933629404,5.69372349714444
150,HI-Honolulu                  ,150630,4.01924358163516,4.37257410750487
190,IA-Cedar Rapids              ,36958,4.87233576701736,4.93626252777358
191,IA-Davenport                 ,69494,5.02974572752257,5.13606825433827
192,IA-Des Moines                ,138959,4.88472792432837,4.95573169950115
193,IA-Dubuque                   ,22437,5.02994614842743,5.2076424435284
194,IA-Iowa City                 ,41428,4.8647379690294,4.92301714641423
195,IA-Mason City                ,26224,4.81898253777907,4.87652650665526
196,IA-Sioux City                ,38472,4.84715141245507,4.91616772365968
197,IA-Waterloo                  ,31453,4.8853949107689,5.07179452349375
151,ID-Boise                     ,77539,4.82162603029378,5.04918772929568
152,ID-Idaho Falls               ,18680,5.31504286572242,5.35660690253322
154,IL-Aurora                    ,19134,5.00837887918706,5.2502314154723
175,IL-Bloomington               ,19299,5.08891401503408,5.23731397329502
155,IL-Blue Island               ,106950,5.60865314998732,5.79605955535541
156,IL-Chicago                   ,237518,5.34076102543265,5.497817999024
158,IL-Elgin                     ,51937,5.50624613044344,5.63552421651667
161,IL-Evanston                  ,126213,4.66774995566239,4.78088946589026
163,IL-Hinsdale                  ,37834,5.21869165123558,5.30612994372925
164,IL-Joliet                    ,56052,5.59858927374679,5.66321702104998
166,IL-Melrose Park              ,140546,5.24004432018515,5.4143312730387
170,IL-Peoria                    ,93742,5.07763949410293,5.18383693555421
171,IL-Rockford                  ,88309,5.05774482732625,5.11882998635009
172,IL-Springfield               ,125818,5.22790640972425,5.30198957674212
173,IL-Urbana                    ,56642,5.12359557666408,5.35372728961798
179,IN-Evansville                ,96467,5.52558291877245,5.6182752018857
180,IN-Fort Wayne                ,100933,5.27390586023065,5.33536960559969
181,IN-Gary                      ,59830,5.5617343666817,5.67268733242183
183,IN-Indianapolis              ,301757,5.74350792082198,5.85754815012506
184,IN-Lafayette                 ,22773,5.47723562072453,5.60896976710616
185,IN-Muncie                    ,23145,5.81414690808298,5.88037479734063
186,IN-Munster                   ,40410,5.39946091169619,5.54171593984599
187,IN-South Bend                ,84545,5.17558367315869,5.23783910728678
188,IN-Terre Haute               ,25353,6.11607479981024,6.18045444581228
200,KS-Topeka                    ,55317,5.34266778852398,5.4129643292069
201,KS-Wichita                   ,173360,5.07751512036063,5.14346684069188
203,KY-Covington                 ,38292,6.25216549924622,6.41862604709662
204,KY-Lexington                 ,159936,6.19142461765731,6.24891615095845
205,KY-Louisville                ,195692,5.90415515579133,6.0220413839403
207,KY-Owensboro                 ,18680,5.77998838032619,5.84531958229569
208,KY-Paducah                   ,56419,5.80812500674572,5.87836050657227
209,LA-Alexandria                ,34363,5.87412038594939,5.93416616060557
210,LA-Baton Rouge               ,76043,5.80861515552259,6.3052735505325
212,LA-Houma                     ,25965,5.56859718856774,5.78354010729027
213,LA-Lafayette                 ,62005,5.90789625779901,5.97835548757937
214,LA-Lake Charles              ,28001,6.0326617508167,6.10958401060209
216,LA-Metairie                  ,50687,5.50603786295046,5.99281092428782
217,LA-Monroe                    ,33717,5.92274571186907,5.98174234189877
218,LA-New Orleans               ,85885,5.72152903959458,6.38868985781236
219,LA-Shreveport                ,84080,5.69400290580485,5.75974107248913
