HRR Name,State,Number of Medicare beneficiaries,"Unruptured cerebral aneurysms per 10,000 Medicare beneficiaries","Subarachnoid hemorrhage per 10,000 Medicare beneficiaries",Percent of Medicare beneficiaries treated for unruptured cerebral aneurysms using coiling ,Percent of Medicare beneficiaries treated for subarachnoid hemorrhage using coiling 
Birmingham,AL,309770,57.3885,12.1245,68.03%,
Dothan,AL,64901,40.684,8.2952,,
Huntsville,AL,90635,46.3277,10.4564,70.92%,
Mobile,AL,104462,35.4075,10.0509,,
Montgomery,AL,57649,45.5166,9.9618,,
Tuscaloosa,AL,37568,99.0014,13.5552,,
Anchorage,AK,63054,45.0824,9.5081,49.75%,
Mesa,AZ,96007,76.5967,13.2834,52.83%,
Phoenix,AZ,310545,62.9299,12.8046,60.48%,48.29%
Sun City,AZ,58148,57.7649,10.7835,64.49%,
Tucson,AZ,127346,58.2649,15.1482,68.19%,
Fort Smith,AR,56578,34.1497,8.6466,,
Jonesboro,AR,38738,37.1453,11.3993,,
Little Rock,AR,252938,38.0716,11.0655,53.73%,72.7%
Springdale,AR,62893,38.1097,10.315,56.64%,
Texarkana,AR,42984,44.1266,13.1509,,
Orange County,CA,235738,43.2663,14.4182,75.61%,63.57%
Bakersfield,CA,87131,32.5645,14.1255,53.79%,
Chico,CA,55389,26.6148,12.2712,,
Contra Costa County,CA,73963,33.9483,13.0504,69.55%,
Fresno,CA,103103,36.7786,14.3809,,
Los Angeles,CA,670889,39.6223,13.4026,70.94%,61.69%
Modesto,CA,84584,33.3118,11.2591,34.98%,
Napa,CA,42539,25.0901,9.7292,,
Alameda County,CA,98169,29.3399,12.7389,,59.11%
Palm Springs/Rancho Mirage,CA,51236,67.1179,12.2171,,
Redding,CA,64546,26.5208,10.3659,56.51%,
Sacramento,CA,216069,40.6276,11.3539,58.49%,62.55%
Salinas,CA,48126,26.4127,12.9258,,
San Bernardino,CA,147595,31.2026,12.4853,57.88%,
San Diego,CA,262164,43.9516,13.6337,47.54%,
San Francisco,CA,123402,42.7376,16.2048,,
San Jose,CA,125965,42.4063,12.9741,77.08%,86.37%
San Luis Obispo,CA,40766,38.4794,9.2133,71.89%,
San Mateo County,CA,65879,40.2179,9.8668,,
Santa Barbara,CA,55071,37.1574,10.6792,79.35%,
Santa Cruz,CA,32051,28.4157,7.1022,,
Santa Rosa,CA,48780,28.5094,8.9884,,
Stockton,CA,49835,29.1606,10.1857,,
Ventura,CA,82554,50.698,11.8138,83.46%,
Boulder,CO,23240,32.7818,11.2865,,
Colorado Springs,CO,89295,29.4932,13.9746,51.8%,
Denver,CO,188307,45.4624,13.4187,59.49%,
Fort Collins,CO,38473,31.4025,9.4142,,
Grand Junction,CO,38633,34.0377,8.2161,,
Greeley,CO,41906,35.1434,10.2441,,
Pueblo,CO,23736,32.7754,13.1148,,
Bridgeport,CT,84676,40.8363,11.9747,,
Hartford,CT,214262,41.877,14.5177,88.66%,68.6%
New Haven,CT,201077,44.8113,14.8993,62.08%,
Wilmington,DE,113579,91.516,16.5286,76.14%,75.5%
Washington,DC,303962,39.6847,13.32,51.76%,57.92%
Bradenton,FL,54307,39.3381,9.9432,,
Clearwater,FL,79808,48.4826,11.5215,,
Fort Lauderdale,FL,367948,62.5276,10.9781,87.87%,98.79%
Fort Myers,FL,238007,49.0293,11.1089,75.62%,67.88%
Gainesville,FL,86233,49.7809,10.7802,,
Hudson,FL,71438,47.1053,13.9458,77.41%,
Jacksonville,FL,203502,70.7155,12.826,85.62%,65.8%
Lakeland,FL,46521,37.042,9.8481,,
Miami,FL,248690,56.6687,11.7319,82.75%,84.11%
Ocala,FL,147301,40.5879,10.1712,66.76%,
Orlando,FL,489891,58.3386,12.0394,80.02%,77.48%
Ormond Beach,FL,68795,70.9641,9.5973,86.98%,
Panama City,FL,36044,50.4823,13.064,,
Pensacola,FL,120750,43.3792,9.7502,63.91%,
Sarasota,FL,115349,35.0883,10.2386,62.47%,
St. Petersburg,FL,57209,41.3433,10.4062,84.46%,
Tallahassee,FL,94150,35.3577,10.6649,,
Tampa,FL,123739,48.7091,13.1674,82.33%,
Albany,GA,28116,32.9216,11.9711,,
Atlanta,GA,582514,46.9107,10.8237,62.93%,36.31%
Augusta,GA,89046,30.1018,9.6603,,
Columbus,GA,42651,41.2458,11.5203,,
Macon,GA,96902,41.3195,12.4162,91.05%,
Rome,GA,43392,48.1499,10.9703,,
Savannah,GA,113647,60.0244,8.5289,66.5%,
Honolulu,HI,121712,71.561,14.5098,82.2%,88.77%
Boise,ID,89364,36.8392,7.2858,68.4%,
Idaho Falls,ID,24481,,,,
Aurora,IL,27339,63.6383,17.5375,73.56%,
Blue Island,IL,125424,60.1651,13.8554,86.12%,70.57%
Chicago,IL,246594,56.5339,14.7361,84.47%,55.27%
Elgin,IL,86944,57.5943,17.5236,64.95%,
Evanston,IL,153969,55.4966,15.8964,66.21%,
Hinsdale,IL,57330,70.5703,17.9088,62.09%,
Joliet,IL,86811,50.4895,12.2727,78.53%,
Melrose Park,IL,166408,59.0187,14.232,84.11%,64.78%
Peoria,IL,105259,49.3924,14.3816,55.49%,
Rockford,IL,109219,35.5264,12.5201,,
Springfield,IL,155562,42.2455,14.9848,67.94%,
Urbana,IL,61985,55.4667,12.0253,,
Bloomington,IL,23802,51.2482,10.8548,94.54%,
Evansville,IN,112983,34.379,12.2095,97.4%,
Fort Wayne,IN,104136,33.0128,9.3334,88.46%,
Gary,IN,80700,64.0609,14.9161,60%,
Indianapolis,IN,381175,42.1149,12.0669,67.85%,61.83%
Lafayette,IN,27953,38.9661,13.3377,,
Muncie,IN,29325,42.0098,11.7799,,
Munster,IN,47380,54.6276,15.502,,
South Bend,IN,95419,34.1551,9.4046,,
Terre Haute,IN,30633,41.4149,15.3748,,
Cedar Rapids,IA,42079,28.5109,9.7613,,
Davenport,IA,83543,40.9514,13.7267,94.57%,
Des Moines,IA,165135,25.6791,9.6478,96.81%,
Dubuque,IA,19773,23.2791,12.3357,,
Iowa City,IA,49964,38.965,9.8088,86.91%,
Mason City,IA,30205,26.488,6.1022,,
Sioux City,IA,41286,16.675,11.8532,,
Waterloo,IA,36853,33.6893,7.163,,
Topeka,KS,69373,32.0288,9.5692,,
Wichita,KS,202643,26.2945,9.6231,67.48%,70.07%
Covington,KY,43791,43.9432,15.0389,,
Lexington,KY,204613,46.4579,14.2366,81.13%,63.1%
Louisville,KY,242765,64.5422,15.555,90.64%,77.75%
Owensboro,KY,24019,61.6476,10.8568,,
Paducah,KY,72003,42.9093,9.751,87.9%,
Alexandria,LA,45416,39.5286,10.3053,,
Baton Rouge,LA,84980,42.7428,11.9288,70.82%,
Houma,LA,34470,28.5605,14.7112,,
Lafayette,LA,86101,41.0507,12.3635,82.72%,
Lake Charles,LA,37296,53.0334,10.0988,,
Metairie,LA,45566,31.9395,9.1271,,
Monroe,LA,42660,40.0646,13.8595,,
New Orleans,LA,41920,40.016,10.9771,,
Shreveport,LA,104472,27.8956,11.6362,,
Slidell,LA,22001,50.0515,7.9955,,
Bangor,ME,76763,32.13,11.9341,,
Portland,ME,177326,33.3052,11.4775,68.33%,
Baltimore,MD,342591,48.6747,14.2121,60.47%,57.46%
Salisbury,MD,92689,59.5148,13.5459,56.49%,
Takoma Park,MD,90420,39.258,15.1999,76.52%,
Boston,MA,630906,71.385,16.1512,59.31%,58.05%
Springfield,MA,100593,40.8732,13.5009,78.94%,
Worcester,MA,69392,56.1683,14.1641,81%,
Ann Arbor,MI,182766,58.1533,11.417,70.27%,
Dearborn,MI,75354,68.202,13.1115,,
Detroit,MI,243876,83.7041,12.8112,74.98%,81.04%
Flint,MI,82997,60.2333,11.1157,53.96%,
Grand Rapids,MI,124753,35.087,9.6527,71.76%,
Kalamazoo,MI,98344,76.083,10.3534,69.27%,
Lansing,MI,94657,79.6831,11.8469,91.78%,
Marquette,MI,39544,45.6958,9.2098,,
Muskegon,MI,38760,33.9236,9.5159,,
Petoskey,MI,36537,40.9685,9.9233,,
Pontiac,MI,59298,78.6377,11.0336,86.9%,
Royal Oak,MI,103415,90.6339,11.2238,81.46%,
Saginaw,MI,129251,51.7363,8.6616,61.63%,
St. Joseph,MI,24347,65.2822,8.6768,79.66%,
Traverse City,MI,49137,31.7801,10.0448,,
Duluth,MN,51383,29.3137,8.5381,96.22%,
Minneapolis,MN,278470,52.727,12.2191,85.47%,
Rochester,MN,59246,41.1438,9.3735,,
St. Cloud,MN,23726,42.0398,8.5182,,
St. Paul,MN,80367,74.7177,12.707,67.52%,
Gulfport,MS,25987,49.0116,13.1604,,
Hattiesburg,MS,46397,43.7732,10.455,,
Jackson,MS,150069,47.529,11.4951,76.27%,
Meridian,MS,33996,41.3067,12.8305,,
Oxford,MS,22465,63.4233,12.0987,,
Tupelo,MS,62914,38.9109,10.5881,,
Cape Girardeau,MO,48131,43.4366,9.9168,,
Columbia,MO,114291,39.2648,11.5538,57.17%,
Joplin,MO,64526,34.3137,8.4561,86.46%,
Kansas City,MO,296526,43.5035,11.9237,78.09%,80.95%
Springfield,MO,130285,45.4013,9.7554,61.83%,
St. Louis,MO,439656,43.9347,11.6947,85.03%,76.87%
Billings,MT,87728,38.0229,7.6086,65.95%,
Great Falls,MT,23493,23.4152,8.4312,,
Missoula,MT,63709,38.0849,9.4162,,
Lincoln,NE,93289,25.2348,7.4997,91.9%,
Omaha,NE,181668,31.3685,11.4478,88.34%,
Las Vegas,NV,170438,69.4428,16.0613,82.16%,
Reno,NV,99497,38.9214,13.4052,75.88%,
Lebanon,NH,76181,41.5497,12.051,,
Manchester,NH,131701,44.5646,11.2887,38.99%,
Camden,NJ,446088,63.0946,12.7043,73.41%,88.88%
Hackensack,NJ,173852,38.3057,12.8654,79.85%,
Morristown,NJ,143057,42.5281,12.8444,87.39%,73.39%
New Brunswick,NJ,130872,79.4246,15.789,73.83%,
Newark,NJ,167202,41.0124,13.933,73.82%,64.66%
Paterson,NJ,51055,40.2216,13.1681,,
Ridgewood,NJ,58562,40.0228,8.6988,,
Albuquerque,NM,176166,27.9856,11.7594,,
Albany,NY,258987,46.2787,9.3627,84.3%,
Binghamton,NY,61375,34.9896,13.6016,,
Bronx,NY,86385,87.2734,12.4498,,
Buffalo,NY,125732,73.4253,8.4542,67.72%,
Elmira,NY,50864,37.6133,10.3542,,
East Long Island,NY,539197,57.9769,12.6624,65.13%,55.29%
Manhattan,NY,450471,56.566,12.9554,79.23%,72.04%
Rochester,NY,98051,35.1693,9.5268,,
Syracuse,NY,147797,48.5259,12.2624,74.28%,81.33%
White Plains,NY,149409,47.2409,12.4463,70.14%,
Asheville,NC,129637,37.8354,9.7254,76.29%,
Charlotte,NC,298021,67.3277,11.3234,79.92%,
Durham,NC,189171,41.5478,11.6692,70.09%,78.88%
Greensboro,NC,67024,57.0355,12.2774,64.48%,
Greenville,NC,131290,43.5151,14.0565,64.33%,64.35%
Hickory,NC,47045,29.7721,6.584,,
Raleigh,NC,225210,48.3553,15.1586,62.61%,58.6%
Wilmington,NC,76691,41.5504,7.7294,,
Winston-Salem,NC,135653,45.4976,11.519,74.64%,76.93%
Bismarck,ND,39077,28.878,7.8104,,
Fargo/Moorhead MN,ND,72899,29.2608,8.9257,,
Grand Forks,ND,24133,28.8101,6.9657,,
Minot,ND,21707,27.3677,9.9768,,
Akron,OH,80878,50.3145,9.6684,58.82%,
Canton,OH,81025,52.9322,10.6003,,
Cincinnati,OH,190191,49.3959,13.5242,72.94%,
Cleveland,OH,286216,53.6186,11.1601,69.08%,81.84%
Columbus,OH,362249,57.1912,15.2523,80.05%,76.28%
Dayton,OH,150832,51.5206,12.5402,80.36%,
Elyria,OH,37236,50.3736,15.8579,,
Kettering,OH,55772,52.657,11.0826,66.71%,
Toledo,OH,137567,37.2505,12.7722,78.35%,
Youngstown,OH,94905,40.3261,10.6046,55.81%,
Lawton,OK,30599,34.243,8.8286,,
Oklahoma City,OK,259993,57.0567,11.3534,83.95%,65.9%
Tulsa,OK,180109,39.7204,12.2841,70.79%,
Bend,OR,32102,43.1552,8.7749,,
Eugene,OR,90548,28.5912,9.9742,69.01%,
Medford,OR,75699,23.5633,8.9115,,
Portland,OR,199303,37.013,11.5343,66.56%,
Salem,OR,21326,24.5835,8.7596,,
Allentown,PA,182451,60.0418,15.9177,61.54%,
Altoona,PA,37817,35.8647,11.2873,,
Danville,PA,74508,33.3994,9.1569,79.69%,
Erie,PA,106034,44.1652,11.8796,88.99%,
Harrisburg,PA,144526,40.0525,10.6159,85.86%,
Johnstown,PA,22340,64.9263,8.0869,,
Lancaster,PA,89905,31.249,10.0717,,
Philadelphia,PA,440460,56.2395,12.0951,85.71%,81.81%
Pittsburgh,PA,282079,48.2175,11.6161,63.45%,71.91%
Reading,PA,82007,69.8578,12.9658,86.22%,
Sayre,PA,33391,29.5426,10.2695,,
Scranton,PA,57441,53.6252,13.0715,,
Wilkes-Barre,PA,44333,43.5374,14.7279,,
York,PA,60951,36.1859,5.51,,
Providence,RI,126546,44.6215,14.2647,79.6%,93.18%
Charleston,SC,157108,61.583,12.9022,76.88%,75.65%
Columbia,SC,165820,38.4386,11.782,85.25%,
Florence,SC,57482,43.2761,13.3457,,
Greenville,SC,127431,33.5147,8.7876,87.27%,
Spartanburg,SC,54237,42.1474,10.5609,,
Rapid City,SD,33116,23.1386,5.0097,,
Sioux Falls,SD,136534,27.1825,9.0782,,
Chattanooga,TN,101778,42.2729,11.8414,66.15%,
Jackson,TN,60953,57.9022,11.4643,,
Johnson City,TN,38106,37.4038,13.2855,,
Kingsport,TN,68578,63.0579,15.5369,79.33%,
Knoxville,TN,187268,53.8695,13.5146,89.13%,87.45%
Memphis,TN,226526,61.1597,11.546,81.2%,65.11%
Nashville,TN,329552,52.0012,12.8694,81.94%,96.55%
Abilene,TX,53238,39.1849,10.933,,
Amarillo,TX,64106,30.6463,8.5194,,
Austin,TX,152041,54.1873,11.5549,67.73%,
Beaumont,TX,65348,39.5564,11.9094,84.8%,
Bryan,TX,27274,35.2513,16.291,,
Corpus Christi,TX,60453,30.7025,14.6893,,
Dallas,TX,446407,60.8468,14.6383,66.38%,51.4%
El Paso,TX,112930,32.7774,12.7319,,
Fort Worth,TX,190444,52.1297,15.7842,74.02%,58.53%
Harlingen,TX,59200,27.1392,11.4668,,
Houston,TX,544283,62.9322,14.6498,73.21%,61.65%
Longview,TX,31783,46.8676,8.3121,,
Lubbock,TX,95214,39.3205,13.5629,,
McAllen,TX,60506,18.6776,16.0166,,
Odessa,TX,44338,47.5792,10.2137,,
San Angelo,TX,27666,37.2888,10.6988,,
San Antonio,TX,276930,45.626,12.6022,60.45%,48.65%
Temple,TX,39094,63.1491,12.7533,,
Tyler,TX,97977,45.8615,8.7913,66.97%,
Victoria,TX,26178,31.9133,13.9882,,
Waco,TX,46689,46.0528,11.9831,,
Wichita Falls,TX,35383,60.7739,13.5186,,
Ogden,UT,36534,48.2701,7.8727,,
Provo,UT,33676,76.0407,9.6649,,
Salt Lake City,UT,173441,85.4733,9.9504,59.96%,
Burlington,VT,100314,43.74,11.2776,70.27%,
Arlington,VA,187334,71.3868,13.5681,80.67%,78.75%
Charlottesville,VA,88687,59.027,16.2377,83.5%,
Lynchburg,VA,43517,23.921,8.3109,,
Newport News,VA,79768,39.2239,8.3794,94.89%,
Norfolk,VA,157474,71.8314,12.3366,74.41%,
Richmond,VA,223342,43.2125,11.8904,79.5%,75.01%
Roanoke,VA,120639,41.0338,13.2103,80.39%,
Winchester,VA,63081,40.6294,11.8759,94.06%,
Everett,WA,67390,36.8315,9.571,,
Olympia,WA,50715,38.7395,11.9719,,
Seattle,WA,297820,43.4146,11.0383,69.76%,
Spokane,WA,213757,39.1578,11.4043,69.16%,77.74%
Tacoma,WA,83171,53.6196,11.7713,98.63%,
Yakima,WA,37116,27.1133,11.8528,,
Charleston,WV,129320,54.7654,11.6584,77.84%,
Huntington,WV,56719,71.7638,9.9589,80.1%,
Morgantown,WV,57420,64.4094,17.3479,,
Appleton,WI,33451,38.6347,7.9817,,
Green Bay,WI,69790,41.7456,8.3861,83%,
La Crosse,WI,43597,26.0129,7.1725,,
Madison,WI,140742,46.0296,9.7889,35.96%,
Marshfield,WI,55125,33.9762,6.9191,,
Milwaukee,WI,318624,46.483,11.2934,80.27%,77.39%
Neenah,WI,26621,40.3759,9.383,,
Wausau,WI,29848,35.6008,8.5062,,
Casper,WY,32487,28.3086,9.8381,,
United States,US,36169055,48.7317,12.1521,71.04%,63.28%
