HSA Number,HSA Name,Medicare enrollees (2009),Total Mortality: ASR-adjusted % of deaths among Medicare enrollees (2009),Non-HMO Mortality: ASR-adjusted % of deaths among Medicare enrollees without HMO coverage (2009)
2001,AK-Anchorage,20813,4.75491159494554,4.82510882423761
2016,AK-Barrow,262,,
2017,AK-Bethel,1226,5.65623513237762,5.7409288617502
2002,AK-Cordova,223,,
2018,AK-Dillingham,372,,
2003,AK-Fairbanks,7024,5.34499856345839,5.31084382070366
2004,AK-Homer,1400,4.97526769659758,5.11058754018233
2005,AK-Juneau,3223,4.25183443033629,4.23885373336976
2006,AK-Ketchikan,1850,4.34537577628221,4.3610135255428
2007,AK-Kodiak,853,5.39871183526058,5.55522048747084
2019,AK-Kotzebue,407,,
2008,AK-Nome,405,,
2009,AK-Palmer,6312,4.65132660109319,4.68249397997798
2010,AK-Petersburg,417,,
2011,AK-Seward,351,,
2012,AK-Sitka,913,4.71123818481919,4.6928877672554
2013,AK-Soldotna,3998,5.14618093800417,5.32698212864567
2014,AK-Valdez,248,,
2015,AK-Wrangell,338,,
1001,AL-Alabaster,11943,5.47477303542359,5.96149594923472
1002,AL-Alexander City,3606,5.93119672978025,6.26943407207445
1003,AL-Andalusia,4289,5.46751973107336,5.51354137307209
1004,AL-Anniston,14599,5.44960724504209,5.58301624486239
1006,AL-Ashland,2690,6.59118584181259,7.04404239383261
1007,AL-Athens,8543,5.18626792678896,5.34467314382659
1008,AL-Atmore,2374,5.03726666806174,5.08893801317933
1010,AL-Bessemer,13236,5.53696221758051,5.90569694903851
1011,AL-Birmingham,101437,5.05969200334884,5.22736812126554
1012,AL-Boaz,9085,6.62750430374179,6.82144251636804
1013,AL-Brewton,3566,5.45292229646369,5.60650576137724
1014,AL-Bridgeport,1247,5.46238728662028,5.63702571163435
1016,AL-Camden,992,5.65046945519268,5.83012382486306
1017,AL-Carrollton,2242,5.73415252371826,5.73491110737977
1018,AL-Centre,3593,6.47727064164914,6.60947051943471
1019,AL-Centreville,1340,6.50344522169908,7.41044010724421
1022,AL-Cullman,13198,5.86371703288735,6.06244627796487
1023,AL-Dadeville,1570,5.79969633422266,6.00457413545161
1024,AL-Decatur,10172,5.02424761209096,5.17670414967558
1025,AL-Demopolis,2520,4.79569505348004,4.86466235677136
1026,AL-Dothan,25620,5.21434214692681,5.35690274973832
1027,AL-Elba,1470,6.71924832557046,6.69570373648324
1028,AL-Enterprise,5415,5.30595450642709,5.38687490401285
1029,AL-Eufaula,2913,5.41579668013081,5.85314600212502
1031,AL-Evergreen,1294,5.29621068069175,5.56216288943419
1032,AL-Fairhope,6659,4.46497058748706,4.75419123480973
