HSA #,HSA label,Medicare Enrollees (1997),"All Surgical Discharges per 1,000 Medicare Enrollees (1997)","Back Surgery per 1,000 Medicare Enrollees (1997)","Coronary Angiography per 1,000 Medicare Enrollees (1997)","Coronary Artery Bypass Grafting (CABG) per 1,000 Medicare Enrollees (1997)","Percutaneous Coronary Interventions per 1,000 Medicare Enrollees (1997)","Carotid Endarterectomy per 1,000 Medicare Enrollees (1997)","Cholecystectomy per 1,000 Medicare Enrollees (1997)","Hospitalization for Hip Fracture per 1,000 Medicare Enrollees (1997)","Hip Replacement per 1,000 Medicare Enrollees (1997)","Knee Replacement per 1,000 Medicare Enrollees (1997)","Mastectomy for Breast Cancer per 1,000 Female Medicare Enrollees (1997)","Resection for Colon Cancer per 1,000 Medicare Enrollees (1997)","Lower Extremity Revascularization per 1,000 Medicare Enrollees (1997)","Transurethral Prostatectomy for Benign Prostatic Hyperplasia per 1,000 Male Medicare Enrollees (1997)","Aortic/Mitral Valve Replacement per 1,000 Medicare Enrollees (1997)"
49001,VA-Abingdon,5597,78.6768856166345,,14.8325901410527,5.62664840328632,3.60674872371422,,3.01672415393784,11.0433075352715,,,,,,,
49002,VA-Alexandria,21180,85.3909217839081,3.36284343110644,12.2932632919296,4.78192586975031,6.53646561493481,2.12170474843827,3.03067296168775,8.68182811018961,2.91367431588922,4.62029226150704,,2.05172457208495,1.44331637870924,5.61860627834893,1.54943727979252
49003,VA-Arlington,18520,84.6738977095785,3.24660022887582,11.9238877968029,3.13096242700708,6.08652332146942,2.54338199513934,3.14493112653369,7.38375930000628,3.19958411114016,3.44051313595354,,1.6671439100774,1.183985408244,8.39231297434511,
49004,VA-Bedford,3847,95.632403594703,,17.5704315837731,,6.19589007211825,,,12.3806384146999,,,,,,,
49005,VA-Big Stone Gap,2178,78.7928382040224,,13.8370010889591,,,,,,,,,,,,
49006,VA-Blacksburg,5723,85.6731280523497,,16.0530660457573,5.95127123232293,3.06963263096921,,6.27198237229301,10.4642450087407,,3.76675950918543,,,,,
49007,VA-Charlottesville,24313,86.7823453194936,3.40399006360237,17.2479085053791,5.30764839697731,5.71510198908796,1.93781258154847,3.66058530890278,9.12894670880867,2.31375484718243,5.40708703108673,,1.17280090079924,0.957671918633361,4.10320675014953,1.20204735203641
49008,VA-Chesapeake,10592,107.311767967624,2.56902610598837,23.7142826235932,7.82689937690707,6.42984189532647,5.77675527776724,4.58688488873466,9.04228280126476,,5.66474475771298,,,,4.66858344033772,
49009,VA-Clintwood,1892,76.2560416564109,,13.9995378522605,,,,,,,,,,,,
49010,VA-Culpeper,4024,95.2305043003625,,13.7712178359277,,3.54756851564921,,,12.2665498830043,,,,,,,
