HSA #,HSA label,Medicare Enrollees (1995),"All Surgical Discharges per 1,000 Medicare Enrollees (1995)","Back Surgery per 1,000 Medicare Enrollees (1995)","Coronary Angiography per 1,000 Medicare Enrollees (1995)","Coronary Artery Bypass Grafting (CABG) per 1,000 Medicare Enrollees (1995)","Percutaneous Coronary Interventions per 1,000 Medicare Enrollees (1995)","Carotid Endarterectomy per 1,000 Medicare Enrollees (1995)","Cholecystectomy per 1,000 Medicare Enrollees (1995)","Hospitalization for Hip Fracture per 1,000 Medicare Enrollees (1995)","Hip Replacement per 1,000 Medicare Enrollees (1995)","Knee Replacement per 1,000 Medicare Enrollees (1995)","Mastectomy for Breast Cancer per 1,000 Female Medicare Enrollees (1995)","Resection for Colon Cancer per 1,000 Medicare Enrollees (1995)","Lower Extremity Revascularization per 1,000 Medicare Enrollees (1995)","Transurethral Prostatectomy for Benign Prostatic Hyperplasia per 1,000 Male Medicare Enrollees (1995)","Aortic/Mitral Valve Replacement per 1,000 Medicare Enrollees (1995)"
49001,VA-Abingdon,5431,74.6160956792306,,12.9107996739139,3.86679570013378,2.82519919595399,,6.17069823882033,7.20650814401623,,,,,,,
49002,VA-Alexandria,21417,85.3731225073133,2.16821195323064,11.1324769501163,3.51867094988769,5.15049191357132,3.46911060871868,3.28876298744518,7.78363209558232,2.61624379998032,4.07538142898403,1.87399420073129,1.52747229200945,1.43535297101546,5.51951340631984,
49003,VA-Arlington,19501,85.4797449483967,2.75343997406435,12.7937068372951,4.66049357948696,4.74073052590422,3.64068505394652,3.24344171500706,8.19991401152885,2.12176658234728,3.49979771412212,,2.08754950540651,2.09975800464307,6.08137399121565,
49004,VA-Bedford,3757,91.6011168178852,,13.5154233432637,,,,,8.34038558921037,,,,,,,
49005,VA-Big Stone Gap,2225,78.3040355753925,,11.2858686358342,,,,,,,,,,,,
49006,VA-Blacksburg,5479,92.2233969444952,,12.4519921363455,5.1650661828413,2.1375871263596,,8.70072970242576,10.2443760413398,,,,,,,
49007,VA-Charlottesville,23481,85.1459045859715,2.84801308859793,15.7753586210805,4.59317030529865,4.66840877526126,1.38496326785105,3.70569932049434,8.92649048767822,3.06356857024227,4.43614758167733,1.3231967719366,1.55030435686331,0.822616284717487,8.49226608566217,
49008,VA-Chesapeake,10311,103.642606738793,,18.8471995747315,6.48730860793141,6.00055697157945,4.31764773903171,5.75591879399999,9.31367911241204,,6.58603133611379,,,,6.31383984921414,
49009,VA-Clintwood,1864,93.9709214057786,,11.5694605219565,,,,,,,,,,,,
49010,VA-Culpeper,3859,83.8579166512388,,10.8162280471384,,,,,9.67506897209039,,,,,,,
49011,VA-Danville,17375,89.4359801946231,3.39623133027972,27.1153291514232,6.11778991701378,6.37492289808223,4.07059432020957,5.95031008040765,9.93233729576043,1.61167159068928,4.25223499009264,,1.63919388115062,1.99149904252978,8.40605178202516,
49012,VA-Emporia,4424,93.3451729210473,,17.1237551380218,,,,,7.09287121039318,,,,,,,
49013,VA-Fairfax,2818,78.7115565870728,,10.2790153058523,,,,,,,,,,,,
49014,VA-Falls Church,36996,77.1628066506567,3.02181222849616,8.53257587536515,3.42408297612766,4.65351653505361,2.61538838830657,3.44936824113075,7.88893504974239,2.52206752678049,3.57711415207871,1.2680856681346,1.36811002676115,1.4793432937435,5.63288665082151,0.647407161098921
49015,VA-Farmville,4223,88.780378758618,,10.1275436961243,,,,,9.00059774479305,,,,,,,
49016,VA-Franklin,3708,111.975183539863,,18.6053092107724,,,,,,,,,,,,
