HSA #,HSA label,Medicare Enrollees (CMHS 5% Sample) (1994),Total Medicare reimbursements per enrollee (Part A and B) (1994),Total Part A Medicare reimbursements per enrollee (1994),Total Part B Medicare reimbursements per enrollee (1994),Medicare reimbursements for inpatient short stays per enrollee (1994),Medicare reimbursements for inpatient long stays per enrollee (1994),Medicare reimbursements for outpatient services per enrollee (1994),Part B Medicare reimbursements for professional & laboratory services per enrollee (1994),Part B Medicare reimbursements for medical & surgical services per enrollee (1994),Part B Medicare reimbursements for medical care per enrollee (1994),Part B Medicare reimbursements for surgical services per enrollee (1994),"Part B Medicare reimbursements for diagnostic, laboratory, and X-ray services per enrollee (1994)",Part B Medicare reimbursements for durable medical equipment per enrollee (1994),Medicare reimbursements for home health services per enrollee (1994),Medicare reimbursements for hospice services per enrollee (1994),Medicare reimbursements for skilled nursing facilities per enrollee (1994)
49001,VA-Abingdon,261.916381835938,3342.80566076782,2206.82765008666,1136.3024957842,1672.85999986982,,260.938450791869,611.197681715181,429.274030413836,234.355371544159,194.788288219777,181.919200768103,71.4068099380047,276.939000133188,,
49002,VA-Alexandria,987.415222167969,3991.85339008114,2287.62733519854,1701.11479402591,1735.47529732659,,409.94825959548,1130.31599610176,802.637514967448,489.546213182057,313.056272241623,327.615865547141,59.4244595583001,248.968638400493,,221.510484662744
49003,VA-Arlington,842.082138061523,4148.06645710912,2468.16157050807,1684.48251508063,2065.4202499495,,374.055660259909,1141.24403006188,828.442866143419,522.875099463484,304.668453184335,312.892182980769,58.503180919285,244.52079267553,,124.699729527601
49004,VA-Bedford,180.166152954102,2953.15014969337,1924.66797681137,1028.63308401053,1623.39409884747,,206.474281804262,648.319872011572,493.869666471889,260.695477124013,232.975434871421,154.485583520098,,,,
49005,VA-Big Stone Gap,86.5830841064453,3956.68329985342,,1541.70400171626,,,450.301074065192,754.523768481485,544.018477996473,347.413462406931,198.080351864914,210.429588589137,,,,
49006,VA-Blacksburg,235.0830078125,3395.59662691732,2480.89329380969,918.96626703902,1804.78488399939,,177.965484608868,569.858535870826,428.168619090895,226.659955904099,201.278993770932,141.716479084922,113.49958342547,,,
49007,VA-Charlottesville,1068.24847412109,4310.7529555857,2991.65428840248,1316.02033255881,2467.3988716333,,430.404333001135,694.700218043175,531.113209976456,303.112875405304,227.990704989105,163.555102709321,80.900921379185,191.307731110062,,202.668962193626
49008,VA-Chesapeake,456.499160766602,5276.06835186275,3553.16879444021,1721.87302861118,2733.28042032216,,367.495222876206,1087.96979671696,839.69515836525,454.321997169886,386.106885089699,248.289165892135,102.514242926929,560.063619006383,,
49009,VA-Clintwood,60.4998779296875,5576.00770822741,,1570.43569897008,,,235.813791729656,964.138567851214,721.141002485476,396.978444540493,323.597069340973,243.163097055652,,,,
49010,VA-Culpeper,218.249755859375,2980.4492779889,1984.99801083028,995.38642491103,1916.74185588682,,326.319062878484,588.446706300588,399.048302885499,209.655667915847,189.536771765965,189.471455514583,27.0267647350718,,,
49011,VA-Danville,848.665618896484,3003.57348138116,1831.71570013427,1174.68752112294,1620.08560250738,,219.596263941287,797.070668410607,572.282507772317,312.17292288053,260.668730544855,224.846684359484,69.6738566299201,159.917183748103,,
49012,VA-Emporia,197.832946777344,3453.44017157901,2349.85469979724,1094.71435166878,2294.82033949354,,194.887661152465,833.762459835829,597.378967258107,344.506055063842,252.278926566381,236.722744503822,26.346416265601,,,
49013,VA-Fairfax,96.7497863769531,4287.34411613629,,1864.71010335779,,,572.730263577236,1120.81890964368,796.618609681664,474.467253549846,322.034751809133,323.814049017876,,,,
49014,VA-Falls Church,1596.91435241699,3561.31492812003,2063.417523792,1488.56868294322,1605.77036282392,,321.337356066947,1005.11494150638,705.762521992614,420.956490776846,285.522571395474,299.057504859544,46.0060252179093,205.619496959068,,127.465002814022
49015,VA-Farmville,222.499664306641,2920.33380948361,1901.93247457002,1018.03635170657,1697.69759951481,,210.578645327075,680.4423158718,487.781086972905,231.274891244219,261.238002365493,192.845797900642,45.0862296339467,132.490671525144,,
49016,VA-Franklin,163.666442871094,2913.59434000319,1637.60683234274,1308.30551886994,1498.82924366772,,458.541379932118,703.663045535057,515.779378486421,258.439754996054,262.643399408374,187.984669503539,50.7244295697429,,,
49017,VA-Fredericksburg,737.582504272461,3914.23349862242,2455.66302363758,1457.00616792884,2076.07184770323,,295.945959537534,937.445563599962,666.523349289528,325.748476559626,340.431069666024,270.737709461753,64.2811527223986,240.501769344506,,
49018,VA-Front Royal,157.083068847656,5166.24358158201,3396.13991936822,1771.61216860559,2980.06498036633,,500.017067634962,1042.29215866765,798.440370638259,317.201788519232,476.906650813544,244.100743699554,,,,
49019,VA-Galax,356.666061401367,3076.96860575044,2089.72367195111,988.649794655909,1339.1364646155,,249.149528819091,552.451161357573,369.865377931944,208.816923972012,161.003737233387,182.406203777537,103.666116915318,513.462474435727,,
49020,VA-Gloucester,327.249496459961,3049.15356735898,2022.86922465664,1024.71350257935,1529.67400581487,,205.423309898448,691.970072247794,501.183920451411,236.746883743692,266.162213569847,190.884692162682,55.2644026471432,332.710875265456,,
49021,VA-Grundy,129.416290283203,4485.68680320286,2915.76729724034,1570.04543542779,,,454.271597830218,865.5275905091,625.639350352207,373.167430183774,253.396231058827,239.671518755613,,,,
49022,VA-Hampton,393.83283996582,3200.75000959815,1962.86952583351,1242.06478662412,1299.86978514558,,316.13677658567,803.242410217059,603.13758604954,328.450793678857,275.740544554799,200.045398581199,39.621537339624,324.966149639,,
49023,VA-Harrisonburg,716.832504272461,3328.54089127778,2058.8846040358,1267.02339729775,1773.81490057422,,382.699164762319,678.139585357084,491.482266376401,270.586814341418,220.592764178961,186.618192228323,112.099080204266,221.236046777108,,
49024,VA-Hopewell,198.499542236328,3947.50860541984,2611.88210337658,1334.74575773625,2386.41373053026,,306.651030717184,908.002884363753,697.303429714258,365.145551752067,333.086086293019,210.657903362338,45.0712619037365,,,
49025,VA-Hot Springs,40.333251953125,6618.88631294087,,1578.3003886465,,,,868.777280007683,672.745572178552,332.779587822122,,196.087833907664,,,,
49026,VA-Kilmarnock,329.249114990234,3719.49543882395,2236.17235625423,1482.65344746393,1839.22962009294,,322.552576724388,897.470692028279,659.452351240305,341.032133595837,318.396258876103,238.021376477885,123.212846647698,184.592482241534,,
49027,VA-Lebanon,172.583206176758,5922.8057060768,4395.96351471637,1542.05855692394,3452.89236652527,,343.99549438259,926.976671645358,728.349090194444,418.68917694272,309.724558676377,198.744113025074,,,,
49028,VA-Leesburg,223.082916259766,4831.06401004093,3089.76290699084,1740.78007398506,2483.02963560148,,608.403264215021,960.23218735748,735.357208490802,416.583980448321,318.772901428049,224.859894452291,59.7017056904392,,,
49029,VA-Lexington,239.832733154297,2564.79154051952,1649.54759443475,915.013503443152,1411.20734580442,,305.141298221363,506.992107559872,404.059841253871,220.091923519278,183.846548635862,102.965914474583,29.7643853698963,,,
