HSA #,HSA label,Medicare Enrollees (CMHS 5% Sample) (1994),Total Medicare reimbursements per enrollee (Part A and B) (1994),Total Part A Medicare reimbursements per enrollee (1994),Total Part B Medicare reimbursements per enrollee (1994),Medicare reimbursements for inpatient short stays per enrollee (1994),Medicare reimbursements for inpatient long stays per enrollee (1994),Medicare reimbursements for outpatient services per enrollee (1994),Part B Medicare reimbursements for professional & laboratory services per enrollee (1994),Part B Medicare reimbursements for medical & surgical services per enrollee (1994),Part B Medicare reimbursements for medical care per enrollee (1994),Part B Medicare reimbursements for surgical services per enrollee (1994),"Part B Medicare reimbursements for diagnostic, laboratory, and X-ray services per enrollee (1994)",Part B Medicare reimbursements for durable medical equipment per enrollee (1994),Medicare reimbursements for home health services per enrollee (1994),Medicare reimbursements for hospice services per enrollee (1994),Medicare reimbursements for skilled nursing facilities per enrollee (1994)
1001,AL-Alabaster,376.082427978516,5280.89842737529,3641.50149730107,1638.18571803571,2206.1261532684,,311.578599891238,1023.62116147799,791.843408109869,425.149973122863,366.933871338762,231.896977293533,170.803636443651,1158.44859354792,,
1002,AL-Alexander City,187.583084106445,4679.8033243394,3001.277748426,1679.02479436854,2053.15733624398,,595.837199318254,884.253688465553,678.265695274373,356.484844336817,322.490093666782,205.939921108149,70.1996505533404,,,
1003,AL-Andalusia,209.166244506836,4789.50725316872,3144.07339142905,1644.17511176559,1848.36296513422,,361.724012865541,966.073126001598,685.502046632526,372.331353923564,313.696731682088,280.901077419411,127.748924023621,,,
1004,AL-Anniston,592.082489013672,4763.71536898887,3097.76471107459,1665.94049305836,2402.65001956669,,389.561389326497,978.452011819719,704.349296085903,367.249912636419,337.80098768877,274.03213571271,155.739885058176,446.324999641841,,
1006,AL-Ashland,80.4164581298828,3969.14759961208,,1233.37980729405,,,259.602165114078,739.319930634828,574.204934215936,285.762181020651,289.983365650725,164.610969751568,,,,
1007,AL-Athens,255.083145141602,4200.86739350943,2986.70339944603,1217.66390678814,2338.74314301113,,302.911760806737,774.10945825138,584.249366520242,275.570765699178,308.115382276997,189.880965902027,69.5675452919415,,,
1008,AL-Atmore,87.4165649414063,5362.87580154954,,1791.60737389904,,,541.473144828975,859.460926958215,664.192041805047,317.665376706964,351.775964111671,194.72047601622,,,,
1010,AL-Bessemer,651.915344238281,4935.20171650415,3384.44116493603,1542.03952807366,2620.62055008758,,390.6355045783,914.646630926717,708.34751339335,382.75495944572,327.056878837824,206.003311441714,64.494664583544,507.237735331783,,
1011,AL-Birmingham,4527.40815734863,4756.96746095736,3189.1321114642,1564.54480695434,2412.94923422438,,356.353859481994,969.620906587527,714.519723621886,384.201844552697,331.403735485786,255.105637261906,87.9485315749334,486.512528695243,56.8180994819709,178.122210575642
1012,AL-Boaz,347.916137695313,4635.34181137803,3208.36255493239,1429.71099652772,2558.78947655764,,302.146968032758,890.268371451054,660.355168285784,355.320305032431,304.671790358805,229.922555015717,74.9039941098242,532.386381431804,,
