HRR #,HRR City,State,Resident Population (2010),"Total Physicians per 100,000 Residents (2011)","Primary Care Physicians per 100,000 Residents (2011)","Total Specialists per 100,000 Residents (2011)","Medical Specialists per 100,000 Residents (2011)","Hospital-Based Physicians per 100,000 Residents (2011)","Surgeons per 100,000 Residents (2011)","Resident Physicians per 100,000 Residents (2011)","Allergists/ Immunologists per 100,000 Residents (2011)","Anesthesiologists per 100,000 Residents (2011)","Cardiologists per 100,000 Residents (2011)","Cardiovascular/ Thoracic Surgeons per 100,000 Residents (2011)","Critical Care Physicians per 100,000 Residents (2011)","Dermatologists per 100,000 Residents (2011)","Emergency Medicine Physicians per 100,000 Residents (2011)","Endocrinologists per 100,000 Residents (2011)","Family Practice Physicians per 100,000 Residents (2011)","Geriatricians per 100,000 Residents (2011)","General Surgeons per 100,000 Residents (2011)","Gastroenterologists per 100,000 Residents (2011)","Hematologists/ Oncologists per 100,000 Residents (2011)","Infectious Disease Specialists per 100,000 Residents (2011)","Internal Medicine Physicians per 100,000 Residents (2011)","Neonatologists per 100,000 Residents (2011)","Nephrologists per 100,000 Residents (2011)","Neurosurgeons per 100,000 Residents (2011)","Neurologists per 100,000 Residents (2011)","Obstetrician/ Gynecologists per 100,000 Women Age 15-44 (2011)","Ophthalmologists per 100,000 Residents (2011)","Orthopedic Surgeons per 100,000 Residents (2011)","Otolaryngologists per 100,000 Residents (2011)","Pathologists per 100,000 Residents (2011)","Pediatricians per 100,000 Residents (2011)","Plastic & Reconstructive Surgeons per 100,000 Residents (2011)","Psychiatrists per 100,000 Residents (2011)","Pulmonologists per 100,000 Residents (2011)","Radiologists per 100,000 Residents (2011)","Radiation Oncologists per 100,000 Residents (2011)","Physical Medicine/ Rehabilitation Physicians per 100,000 Residents (2011)","Rheumatologists per 100,000 Residents (2011)","Urologists per 100,000 Residents (2011)","Vascular Surgeons per 100,000 Residents (2011)"
173,Urbana,IL,447652,194.59915092,75.718970638,116.7033147,45.595503099,21.766622659,38.167774103,27.347841095,0.401407656,8.454421669,5.792104376,1.2989413435,2.0924232815,1.6443466873,8.8671592443,1.6955092972,35.6698365,2.4846650711,7.0102266576,3.8635721214,3.262718007,1.8412854094,28.768248999,1.1856636759,1.5710888322,0.8813930814,3.5014199189,50.582722259,4.6024472009,5.5054192555,2.7689837715,3.7433661309,10.92690125,1.8736080827,7.5249316818,1.2592117216,10.298474803,1.417748188,2.9147353118,0.8293993984,2.7851038782,0.6130909231
175,Bloomington,IL,205633,170.21710464,62.547338661,105.05846682,36.287306576,23.382809234,36.973281847,11.006916721,0.9471785042,10.368442982,6.0906851075,0.7241946955,3.7976496057,1.8900948591,7.6939115101,0.6100743612,32.41267914,0.1222349147,6.8571311623,3.672315589,2.1776006939,0.1749593863,19.573178145,0.1166526202,1.1019819009,1.8583713586,2.9607106601,37.453247885,4.9897663499,6.3519285561,2.4687121166,3.3036855814,10.29068083,2.6958685308,4.3538950927,1.0103587106,7.0029883483,0.5820205606,1.9956016353,1.3712371256,2.9805790965,0.1809658297
179,Evansville,IN,681289,180.30359207,67.223188341,110.61331279,36.055776052,25.721077603,39.217898425,9.8709436413,0.6361115572,12.454552879,5.3134740377,1.2426103498,1.1657163947,1.7318452949,9.7611496531,0.9157215392,40.361254412,0.8334982221,7.5957201031,2.317561813,2.153421249,0.7819148135,17.793650863,1.3596968094,1.5968557765,1.7416174564,1.9631984722,59.37099304,3.0231930421,6.6116017186,1.9452129683,2.5553245747,9.3031432359,1.3031475852,6.85071545,1.2222490039,7.2116289249,0.8883777189,2.0170285477,0.5300555463,2.4531062645,0.8741504534
180,Fort Wayne,IN,874115,149.35732615,53.463024056,93.836945476,33.932981793,24.515212246,29.693474007,8.4494221063,0.8682640871,11.483230902,5.8791547364,1.2784953282,1.6332370101,1.1936050073,7.7560288431,0.5151999236,36.521794737,0.4581407232,5.4688729362,2.3995848566,1.8801880469,1.2247598117,11.707257373,0.893698671,1.9284770937,0.6741693297,2.1563547079,42.140364695,2.7983864255,5.0409235653,1.965271728,2.3470120376,5.7383251441,0.9023666154,4.2492054784,1.2303022531,5.4888489874,0.9317551355,1.6481429085,0.8061394147,2.3097305763,0.2363626219
181,Gary,IN,523706,177.30436385,59.946264057,114.91697152,42.154558013,26.307190262,37.709546423,17.261845795,0.8505738964,13.049614822,7.4096472113,1.6929909838,1.7354784921,1.2394875074,10.351339948,0.9132552535,30.252488619,0.5113368409,7.2434005241,3.4637466944,2.2492741095,1.2323287115,21.417016679,0.8272280563,2.6534905781,1.0010311257,3.4094566376,54.251188397,4.0553982741,5.4947312993,2.3648021481,4.8848871572,8.2828425068,1.3635374307,6.3591218235,1.2044962166,7.3940126745,0.9883934381,1.7132618451,0.5107291391,2.5133715021,0.5151382189
183,Indianapolis,IN,2852024,211.50366993,72.456736099,136.63058292,51.472142114,29.749953434,40.198213311,36.572364683,0.8442772394,16.620114122,8.2552817261,1.32109764,2.4741019782,2.4348503125,10.454367298,1.5996598724,35.186822234,1.022410823,6.5141964124,3.4143816879,3.8627366802,1.3607944895,23.70024536,1.1992474877,2.5971515677,1.2851318856,4.7477090179,53.806621909,4.2832615685,7.0842402489,2.5720345544,4.2118486777,13.544461711,1.7756779405,8.3216245709,1.3237823975,9.2890523984,1.5013395291,2.1420517381,1.4271870131,2.6367265357,0.8822699644
184,Lafayette,IN,247432,163.12542085,55.48398014,105.49868152,43.423762638,27.777820846,26.457260095,8.5029330674,1.1188818333,14.265491961,6.4679154725,0.8686467956,2.1524033988,2.9742504859,10.721238295,0.8665150196,28.457550015,0.1695783932,4.8704491669,1.4481454085,2.9517628916,0.892864706,18.258369522,1.3762887005,1.9860932077,0.8983096158,3.8144055971,31.550781811,4.4236788893,3.3785608944,2.3908117332,2.1753170344,8.5812380842,1.2848700723,5.7167967497,0.8656798847,7.3859985997,1.581656486,1.0443003798,1.1988043587,1.2737568158,0.1810415014
185,Muncie,IN,166875,188.17602747,73.190114113,112.78290491,41.029678361,31.092172611,33.05548518,29.676131201,0.6233195439,17.218761067,4.4293829169,0.9767607114,1.6350987891,4.1992557841,6.8128047888,0.7107832459,36.683481898,1.2815599942,6.0716490617,2.6704610104,2.3627520482,0.7701872034,25.104482712,1.208590149,2.4361252197,1.3569721058,2.1539981872,34.829617922,3.9961935896,7.5029472869,2.7663982335,5.951352804,11.080954377,0.9451691772,4.2195441104,2.2038441771,4.8557681886,2.1396170857,1.9085605627,2.2418603897,1.7927627413,0.2508352635
186,Munster,IN,323286,192.23026644,62.096408618,127.69528576,51.712682566,27.371269342,40.238682161,24.038656348,0.7566944961,14.162513094,9.129005511,2.9072026065,1.9128457032,2.552578392,7.3365641317,1.8660127484,25.736263183,0.946249418,6.0951553883,2.3445542242,3.7620510235,3.9658612163,26.216389199,1.278938755,2.2021489228,1.5663222938,4.5868071329,53.32562751,5.6386848797,5.0167031582,2.7916526746,3.3466993558,10.256964427,2.0120720445,5.6469909145,2.4502831655,9.9689791409,1.4328900584,2.3823687375,1.5050790661,2.1305012048,0.4719696669
187,South Bend,IN,687030,181.5417229,67.500951618,111.61890831,41.595729679,27.230800243,34.963864481,14.390293935,0.53939981,14.005443406,6.4549774052,1.7411578015,1.0209858138,1.2698017914,11.624911927,0.7765246586,43.421089593,0.5069054633,5.8616976929,2.4790379474,3.0385831961,0.8486001127,16.487747074,1.0229751762,1.6441670039,1.1199491528,2.6746157717,48.864660147,3.3717244278,7.3846865716,2.2697131428,4.2617653808,8.113065541,0.8233325609,5.0705917689,1.0663046914,8.7685182573,1.4523073729,2.7518479842,1.0387162713,1.9364702936,0.1867925649
