HRR #,HRR City,State,Resident Population (2006),"Acute Care Hospital Beds per 1,000 Residents (2006)","Hospital-based Registered Nurses per 1,000 Residents (2006)","FTE Hospital Employees per 1,000 Residents (2006)","Total Physicians per 100,000 Residents (2006)","Primary Care Physicians per 100,000 Residents (2006)","Total Specialists per 100,000 Residents (2006)","Medical Specialists per 100,000 Residents (2006)","Hospital-Based Physicians per 100,000 Residents (2006)","Surgeons per 100,000 Residents (2006)","Resident Physicians per 100,000 Residents (2006)","Allergists/ Immunologists per 100,000 Residents (2006)","Anesthesiologists per 100,000 Residents (2006)","Cardiologists per 100,000 Residents (2006)","Cardiovascular/ Thoracic Surgeons per 100,000 Residents (2006)","Critical Care Physicians per 100,000 Residents (2006)","Dermatologists per 100,000 Residents (2006)","Emergency Medicine Physicians per 100,000 Residents (2006)","Endocrinologists per 100,000 Residents (2006)","Family Practice Physicians per 100,000 Residents (2006)","Geriatricians per 100,000 Residents (2006)","General Surgeons per 100,000 Residents (2006)","Gastroenterologists per 100,000 Residents (2006)","Hematologists/ Oncologists per 100,000 Residents (2006)","Infectious Disease Specialists per 100,000 Residents (2006)","Internal Medicine Physicians per 100,000 Residents (2006)","Neonatologists per 100,000 Residents (2006)","Nephrologists per 100,000 Residents (2006)","Neurosurgeons per 100,000 Residents (2006)","Neurologists per 100,000 Residents (2006)","Obstetrician/ Gynecologists per 100,000 Women Age 15-44 (2006)","Ophthalmologists per 100,000 Residents (2006)","Orthopedic Surgeons per 100,000 Residents (2006)","Otolaryngologists per 100,000 Residents (2006)","Pathologists per 100,000 Residents (2006)","Pediatricians per 100,000 Residents (2006)","Plastic & Reconstructive Surgeons per 100,000 Residents (2006)","Psychiatrists per 100,000 Residents (2006)","Pulmonologists per 100,000 Residents (2006)","Radiologists per 100,000 Residents (2006)","Radiation Oncologists per 100,000 Residents (2006)","Physical Medicine/ Rehabilitation Physicians per 100,000 Residents (2006)","Rheumatologists per 100,000 Residents (2006)","Urologists per 100,000 Residents (2006)","Vascular Surgeons per 100,000 Residents (2006)"
1,Birmingham,AL,2216270,3.46202149966181,4.14578623872789,15.0787240861151,177.2575,63.0101,111.824,37.3696,22.2087,40.9736,35.388,0.7158,9.149,6.4533,1.4166,1.3439,2.4193,5.7257,0.8394,23.737,0.5184,7.7243,2.8138,2.4021,1.1501,25.6732,0.4995,1.9669,1.5299,3.6231,51.5255,4.2785,6.095,3.5657,4.1059,13.6226,1.4974,7.7016,1.6274,7.7829,1.0331,1.5115,1.124,3.1043,0.5334
2,Dothan,AL,363788,3.32651398624598,4.32172088658933,16.3213317364647,154.5803,53.6905,98.5446,30.6049,21.935,40.6599,6.6612,0.906,9.1633,3.8316,1.054,0.7602,2.019,7.3545,0.8357,26.0312,0.5633,7.4444,2.0898,1.2549,0.6217,17.6905,0.4069,1.4572,1.0564,2.6224,53.6183,4.3902,5.9356,3.3678,3.3986,10.0299,1.4183,3.6017,1.1422,6.1271,1.0611,0.4766,0.5916,3.5979,0.3602
5,Huntsville,AL,571384,2.6103575890523,4.66432844456941,14.462494309821,178.1972,67.6841,108.0331,34.6201,23.0024,39.0653,13.3163,0.8225,9.9413,5.3407,1.06,1.2584,1.6889,7.2307,0.53,35.4035,0.0625,7.6682,2.9283,1.855,0.9108,19.3349,0.8889,2.1492,0.9753,3.04,52.1751,3.3093,6.0615,3.9991,3.8296,12.9518,1.5654,8.1215,1.3655,7.1544,1.1278,1.4822,0.8752,2.2418,1.0941
6,Mobile,AL,795089,3.08490809134534,4.39131133761286,15.3945953934199,171.1888,56.9442,111.998,38.4121,22.1043,41.2252,27.7536,0.6073,8.9688,6.2683,2.0071,1.7488,2.4317,7.28,0.673,25.221,0.2042,7.2055,3.8829,1.8232,1.2765,20.1982,0.5633,2.0149,1.1468,3.1247,53.7466,4.2932,6.9902,3.0667,4.3983,11.5395,1.5555,5.8959,2.435,7.9537,1.2212,1.0326,1.1249,2.5364,0.7053
7,Montgomery,AL,450233,2.74316896880691,3.59671822229361,11.3350717444751,155.2283,61.0014,91.8004,29.3623,19.7294,35.8453,13.4696,1.0511,6.9701,4.2982,1.4994,0.9225,1.4481,4.8993,0.6791,23.1437,0.4542,7.6851,2.0703,1.6657,0.7333,27.6149,1.4226,1.8156,1.2419,2.9563,44.0872,3.6716,5.2556,2.8171,2.7365,10.3061,1.059,4.9038,1.168,8.1296,0.9125,1.3692,0.7128,2.1223,0.8664
9,Tuscaloosa,AL,245113,3.5171123215993,4.83009580256504,17.7594304728003,181.2299,67.6784,111.0861,36.3917,20.9909,35.6954,25.552,1.5936,7.9722,4.2186,1.165,0.621,2.914,4.8298,0.8672,34.1705,1.1778,7.49,3.0643,2.2381,0.5467,24.1611,1.2183,1.0531,1.4908,4.2375,39.3751,2.7651,5.7976,4.2829,2.6305,9.0237,2.1216,15.4735,2.09,9.4182,1.2391,2.0935,1.295,2.3443,0.123
10,Anchorage,AK,666346,2.53936901392417,4.26350362044245,15.4962526103094,244.6521,100.5237,140.8461,43.3209,28.7186,53.1243,13.345,0.8098,15.3274,5.2751,1.0436,0.9038,2.0757,12.996,0.9254,61.9252,1.0043,10.1385,2.1994,2.6685,0.5167,26.3062,1.0838,0.9473,1.1376,2.1453,59.9566,5.9175,11.7055,4.4714,2.9837,12.7058,1.1482,12.219,1.2794,7.8024,1.2762,2.6045,0.8119,3.8342,0.1437
11,Mesa,AZ,1273584,1.60367702362726,2.42711764014362,8.28889953445841,140.5691,48.6895,89.2442,31.9464,21.3581,27.9498,12.2765,0.7314,8.5822,5.466,0.843,1.1344,2.1706,6.5872,0.6909,23.5318,0.3849,4.7367,3.0748,1.6523,0.6937,17.0502,0.2265,1.3368,0.6645,2.1214,36.5358,3.5823,4.7792,1.8164,2.5058,8.3612,1.467,6.0407,1.69,6.9517,0.8753,1.0884,0.7937,1.5368,0.6097
12,Phoenix,AZ,3137769,2.17246384683811,3.42897781837411,12.2199540376522,183.5293,62.3971,118.6756,41.6635,27.436,37.5264,19.0156,0.6894,14.0727,5.9619,1.3682,1.6962,2.7629,9.0589,1.0771,27.068,0.8335,7.003,3.1655,2.1739,0.9414,25.2651,0.8824,1.9119,1.1553,3.7523,47.6161,3.9666,6.0255,2.1828,2.9788,10.5266,2.5649,8.5517,1.9109,8.5475,1.2069,1.83,0.9699,2.1375,0.5015
14,Sun City,AZ,293356,1.91488280369125,3.02982111201884,10.9738389692935,191.5224,66.564,122.4012,43.4413,26.3497,39.3244,16.2085,0.9535,12.8175,4.6032,1.0013,2.6321,4.594,8.5302,0.8485,24.0903,2.6802,6.1858,3.4166,1.5381,1.1957,29.8762,0.8099,2.0574,1.3284,5.1444,72.45,4.292,6.4986,1.7034,2.9312,11.1014,1.8607,9.3488,2.1209,7.7962,0.7756,1.5792,0.7457,2.6101,0.3683
