HSA #,HSA City,State,Resident Population (2010),"Acute Care Hospital Beds per 1,000 Residents (2012)","Hospital-based Registered Nurses per 1,000 Residents (2012)","FTE Hospital Employees per 1,000 Residents (2012)"
49001,Abingdon,VA,54876,1.88731032462965,3.54304293190944,13.1505878975149
49002,Alexandria,VA,328930,1.40308750535769,3.61255065194564,9.76800994877703
49003,Arlington,VA,247147,1.04753806081135,2.69752313260688,8.24200381094124
49004,Bedford,VA,27994,1.47302490810398,3.26046002464136,12.9275220053969
49005,Big Stone Gap,VA,16756,3.03664112725528,3.79654148218106,12.8522137545515
49006,Blacksburg,VA,79682,1.7589755544177,3.82239572572871,10.8595380568877
49007,Charlottesville,VA,246966,1.47896858968306,4.16417436557822,14.6810124397743
49008,Chesapeake,VA,168240,1.86204855707183,4.70047519024229,12.3663778685732
49009,Clintwood,VA,16033,2.15771165309707,3.57465362607036,13.9946558163501
49010,Culpeper,VA,54022,1.67304022867756,4.12632848933572,15.0588102147449
49011,Danville,VA,105614,2.38062409870327,4.39547247381415,16.5793209250551
49012,Emporia,VA,29281,3.69078491535038,7.02472918864805,23.0387956700288
49013,Fairfax,VA,160360,0.885320631132345,2.14726854852051,5.90822406939697
49014,Falls Church,VA,578480,1.1805707445892,3.31774425250478,8.85107637615874
49015,Farmville,VA,32936,2.19117050466593,4.20952367817517,14.3146454704693
49016,Franklin,VA,26940,3.18926680905861,4.3261887068511,18.8384920160752
49017,Fredericksburg,VA,326564,2.11304333709995,3.66056066189776,11.7497965865768
49018,Front Royal,VA,37575,1.92074133100687,4.65306548977969,14.6971406979719
49019,Galax,VA,48263,2.35647261113627,5.13487749372143,16.7904563958291
49020,Gloucester,VA,54406,1.20333678887982,3.0519242559385,9.68729789904319
49021,Grundy,VA,21998,3.37190257271868,5.16734377125977,20.3391553487163
49022,Hampton,VA,85024,1.30471998821304,3.19905791804194,9.88343894598074
49023,Harrisonburg,VA,150876,1.50903659313917,4.35304131841986,16.3775313089136
49024,Hopewell,VA,38526,3.09214659893769,5.79815521271667,16.5920028176624
49025,Hot Springs,VA,4731,6.44823015981819,9.15061573626008,40.9569855472073
49026,Kilmarnock,VA,29174,2.37035775586264,5.42629337625112,16.2101073709782
49027,Lebanon,VA,26183,3.28251915125293,5.0618067929754,18.4899089969695
49028,Leesburg,VA,238562,1.23644431313733,2.84381559403846,8.33489857753739
49029,Lexington,VA,35999,1.49386328567925,4.05823410925223,14.0058454828104
49030,Low Moor,VA,25709,2.83350606702152,3.19155050706468,12.8478201987455
49031,Luray,VA,18085,2.56051790493075,4.96546827902785,21.5124921279494
49032,Lynchburg,VA,229098,2.42624690415687,3.69387518498115,15.9465506416745
49033,Manassas,VA,227062,1.0252478892362,2.62026641247212,7.94077798939543
49034,Marion,VA,32208,2.46146874094848,4.06841829692712,15.4289049542276
49035,Martinsville,VA,67972,2.71827373391716,4.56763458147179,17.2723995160777
49036,Nassawadox,VA,36451,1.7138247363182,3.60438755439827,13.3704133684514
49037,Newport News,VA,325513,1.28464749715931,2.9398201861186,8.86014736106154
49038,Norfolk,VA,369041,2.11315134726465,4.57374439097475,14.7657208212186
49039,Norton,VA,33290,2.43074754401459,3.76360691257287,13.8114753465634
49040,Pearisburg,VA,20982,2.6976445709297,5.12312519649277,17.8565253624693
49041,Pennington Gap,VA,17969,2.40169432538096,3.86185510322684,13.4727515190607
49042,Petersburg,VA,123401,2.85031824963517,5.4783567043487,16.814516343642
49043,Portsmouth,VA,191341,2.464909376984,3.84164952571155,15.9942322003189
49044,Pulaski,VA,20279,5.0504009287688,8.65990524063818,25.809789295774
49045,Radford,VA,44562,1.41342926456127,3.00335771788377,8.59836895251647
49046,Reston,VA,223048,1.02744892799819,1.85274797541206,6.49780864699278
49047,Richlands,VA,29019,3.10886732159997,4.5624443552806,16.3094595826697
49048,Richmond,VA,1091423,1.90743787998508,4.10267438722076,12.1589118482079
49049,Roanoke,VA,260086,1.93963415513281,4.25437685957877,14.0647577116033
49050,Rocky Mount,VA,28747,1.93603876941779,4.65459321136586,15.3239331067307
49051,Salem,VA,53852,2.00375991812325,3.83423399447929,11.6340036975453
49052,South Boston,VA,53690,2.33202902713674,5.09217420633649,18.1260185332503
49053,South Hill,VA,30418,2.66756058810279,6.50953181443037,22.708949247608
49054,Staunton,VA,111762,2.03335176568362,4.43637655948987,18.2525636160281
49055,Stuart,VA,12288,3.24487266057986,5.23144921776839,19.3894530308899
49056,Suffolk,VA,84643,1.89589788261219,3.95869869220769,13.222933605779
49057,Tappahannock,VA,29137,1.67591632877884,4.1271821691771,13.6283572599059
49058,Tazewell,VA,17826,2.08743862007395,3.29410292612738,11.6001663153293
49059,Virginia Beach,VA,313301,1.57916564309562,3.20277262837044,9.48274771147408
49060,Warrenton,VA,72576,1.60409891823656,3.60734759591287,14.0075960569084
49062,Williamsburg,VA,99984,1.30747128328949,3.21680076076882,10.1651607229142
49063,Winchester,VA,157931,1.51313689186645,3.91300441266503,11.7000722448574
49065,Woodbridge,VA,227034,1.24392343389627,2.84574074091506,8.69560160115361
49066,Woodstock,VA,28204,1.52574920213374,4.13135860924376,14.295027544722
49067,Wytheville,VA,33136,3.4712895686971,5.5625655479962,17.954432180617
