HSA #,HSA City,State,Resident Population (2006),"Acute Care Hospital Beds per 1,000 Residents (2006)","Hospital-based Registered Nurses per 1,000 Residents (2006)","FTE Hospital Employees per 1,000 Residents (2006)","Total Physicians per 100,000 Residents (2006)","Primary Care Physicians per 100,000 Residents (2006)","Total Specialists per 100,000 Residents (2006)","Medical Specialists per 100,000 Residents (2006)","Hospital-Based Physicians per 100,000 Residents (2006)","Surgeons per 100,000 Residents (2006)","Resident Physicians per 100,000 Residents (2006)","Allergists/ Immunologists per 100,000 Residents (2006)","Anesthesiologists per 100,000 Residents (2006)","Cardiologists per 100,000 Residents (2006)","Cardiovascular/ Thoracic Surgeons per 100,000 Residents (2006)","Critical Care Physicians per 100,000 Residents (2006)","Dermatologists per 100,000 Residents (2006)","Emergency Medicine Physicians per 100,000 Residents (2006)","Endocrinologists per 100,000 Residents (2006)","Family Practice Physicians per 100,000 Residents (2006)","Geriatricians per 100,000 Residents (2006)","General Surgeons per 100,000 Residents (2006)","Gastroenterologists per 100,000 Residents (2006)","Hematologists/ Oncologists per 100,000 Residents (2006)","Infectious Disease Specialists per 100,000 Residents (2006)","Internal Medicine Physicians per 100,000 Residents (2006)","Neonatologists per 100,000 Residents (2006)","Nephrologists per 100,000 Residents (2006)","Neurosurgeons per 100,000 Residents (2006)","Neurologists per 100,000 Residents (2006)","Obstetrician/ Gynecologists per 100,000 Women Age 15-44 (2006)","Ophthalmologists per 100,000 Residents (2006)","Orthopedic Surgeons per 100,000 Residents (2006)","Otolaryngologists per 100,000 Residents (2006)","Pathologists per 100,000 Residents (2006)","Pediatricians per 100,000 Residents (2006)","Plastic & Reconstructive Surgeons per 100,000 Residents (2006)","Psychiatrists per 100,000 Residents (2006)","Pulmonologists per 100,000 Residents (2006)","Radiologists per 100,000 Residents (2006)","Radiation Oncologists per 100,000 Residents (2006)","Physical Medicine/ Rehabilitation Physicians per 100,000 Residents (2006)","Rheumatologists per 100,000 Residents (2006)","Urologists per 100,000 Residents (2006)","Vascular Surgeons per 100,000 Residents (2006)"
49001,Abingdon,VA,51704,2.21573136158648,2.95837445492588,10.8011424926962,151.4101,60.7028,88.5094,22.3695,18.9222,37.8834,12.2863,0.2892,6.3354,4.1488,0.5892,0.4321,1.5002,3.5844,0.2575,27.9449,0.1253,7.6951,3.2819,2.0224,0.2757,23.8336,1.4954,0.4544,0.9273,1.2793,65.1963,4.5632,4.9369,2.7406,3.5174,7.6736,1.411,6.9113,1.4874,7.9631,0.2817,0.3402,0.2714,1.8764,0.1571
49002,Alexandria,VA,290322,2.00642513693323,2.99231942647004,9.48579912499221,231.3401,82.1436,146.6583,54.506,25.2825,46.8613,33.7713,1.2985,12.0623,7.7534,1.3548,2.2013,3.7835,11.5349,1.2703,26.5958,0.7439,5.8853,5.7257,2.8505,2.0591,34.6408,1.2838,1.9752,1.1204,3.7629,74.1936,5.275,9.0329,3.1292,3.7103,21.2024,1.6599,16.725,2.2132,11.3759,0.819,2.7626,1.1709,2.7843,0.5
49003,Arlington,VA,247284,1.35286545343817,2.07734191459214,6.81173179517614,201.0364,71.2753,127.2046,45.1351,22.7232,40.4695,45.191,1.4997,9.6499,7.8877,0.5265,1.8523,2.2995,6.8076,1.4425,16.8148,0.5469,5.2977,3.1403,3.2071,2.1948,35.0303,1.3785,2.2705,1.4086,2.9448,54.8543,6.1786,7.3109,3.4472,3.7817,20.8954,1.4906,14.6928,1.5589,7.8194,0.6042,1.8633,1.1459,2.5515,0.4792
49004,Bedford,VA,20694,3.13216956307496,4.14431176788876,12.9830418257498,209.765,84.1993,123.1543,29.1159,26.7907,54.4026,27.9724,0.8605,13.4251,3.2038,0.1878,1.4838,1.462,6.9629,0.7745,54.5676,0.2948,14.7061,1.9107,1.33,0.503,19.7732,1.4822,3.8141,1.8443,1.8154,75.8995,6.6587,6.4273,3.2616,3.0074,9.0148,2.4212,10.2312,0.746,9.804,0.6169,1.8418,0.6793,2.3154,0.8343
49005,Big Stone Gap,VA,15869,4.01364983724603,6.45718211023878,22.9621273179393,210.6562,83.7562,124.6789,35.1554,24.8176,54.0932,15.9958,0.4836,11.5596,3.9468,2.2548,1.7962,0.9664,6.2006,0.3107,46.7752,0.769,8.8063,5.5254,2.6968,0.4406,23.2257,0.9254,0.766,1.3955,4.9826,98.5105,4.4522,9.7697,1.8678,2.3686,13.789,1.4689,6.4261,3.5834,14.2618,0.4412,0.6518,0.732,3.7848,0.6073
49006,Blacksburg,VA,79043,1.92241152228173,2.61236879130207,8.17860321531761,146.3612,48.6925,94.8038,32.4873,18.8282,34.9404,12.2891,1.4697,7.0915,5.3311,0.7242,0.7421,0.9154,8.8366,0.9221,19.5017,0.7955,7.4928,2.6505,1.8445,0.3228,19.4817,0.2877,1.1126,0.5257,3.0406,42.8366,4.607,5.299,2.1349,1.4312,9.6286,1.1227,5.8846,0.4483,5.3351,0.2674,1.3861,0.2819,3.6148,0.9719
49007,Charlottesville,VA,235755,1.58626937789121,3.89241873148097,13.1337669575867,208.4728,79.8943,126.2312,53.9187,22.708,27.3026,88.0668,0.5992,9.4484,5.8172,0.5935,1.3574,3.6711,9.3698,3.2513,30.2645,1.2761,4.025,3.7184,3.5891,2.2539,28.015,1.337,2.2787,1.2813,6.739,36.2576,3.0912,3.6297,1.9954,4.8071,22.6137,1.3152,15.8893,1.8952,9.1226,1.7373,2.3621,1.5322,2.1429,0.9213
49008,Chesapeake,VA,160810,2.03198170828758,3.14141185487656,11.6592125340661,183.6923,64.3133,116.8166,39.8788,22.8744,44.0648,25.7219,0.5782,9.6629,6.2483,0.734,0.5353,1.9508,8.7721,0.2594,26.4489,0.7028,6.406,2.6074,3.3036,0.6323,22.0721,0.391,2.8427,1.1965,2.7049,58.1222,6.0909,8.4982,2.5536,4.521,15.5363,1.8658,6.4217,1.8957,7.6139,1.2704,1.5582,1.3861,1.8602,2.153
49009,Clintwood,VA,12799,4.85196492724792,6.37779006887315,25.0471068764849,265.7559,110.3582,154.3124,36.3187,25.5335,81.0577,30.2016,0.5325,12.2523,4.9126,1.8403,2.4788,1.0607,9.5348,0.4094,46.8291,1.3857,16.2147,4.2354,3.8188,0.527,44.7625,0.882,0.9252,1.8445,3.2063,110.7482,7.2158,12.0818,2.9949,3.2058,17.1616,1.8855,5.2605,1.2707,9.6016,0.6095,0.686,0.5759,6.066,7.1718
49010,Culpeper,VA,40630,1.9064593957161,4.36921520830181,14.4344823321294,189.4579,66.4278,120.6136,41.082,24.5853,44.3744,44.3016,0.6538,11.4041,5.5744,1.1359,0.8073,3.5353,7.4467,1.1183,28.8174,0.4647,7.7758,3.5403,3.0611,0.9205,21.9395,0.6452,1.4766,0.8685,5.8407,55.0224,4.272,8.269,3.0886,2.5419,15.7287,0.9877,7.2551,2.2461,5.9326,0.6664,1.2963,0.6728,5.4077,0.5765
