HSA #,HSA City,State,Resident Population (2006),"Acute Care Hospital Beds per 1,000 Residents (2006)","Hospital-based Registered Nurses per 1,000 Residents (2006)","FTE Hospital Employees per 1,000 Residents (2006)","Total Physicians per 100,000 Residents (2006)","Primary Care Physicians per 100,000 Residents (2006)","Total Specialists per 100,000 Residents (2006)","Medical Specialists per 100,000 Residents (2006)","Hospital-Based Physicians per 100,000 Residents (2006)","Surgeons per 100,000 Residents (2006)","Resident Physicians per 100,000 Residents (2006)","Allergists/ Immunologists per 100,000 Residents (2006)","Anesthesiologists per 100,000 Residents (2006)","Cardiologists per 100,000 Residents (2006)","Cardiovascular/ Thoracic Surgeons per 100,000 Residents (2006)","Critical Care Physicians per 100,000 Residents (2006)","Dermatologists per 100,000 Residents (2006)","Emergency Medicine Physicians per 100,000 Residents (2006)","Endocrinologists per 100,000 Residents (2006)","Family Practice Physicians per 100,000 Residents (2006)","Geriatricians per 100,000 Residents (2006)","General Surgeons per 100,000 Residents (2006)","Gastroenterologists per 100,000 Residents (2006)","Hematologists/ Oncologists per 100,000 Residents (2006)","Infectious Disease Specialists per 100,000 Residents (2006)","Internal Medicine Physicians per 100,000 Residents (2006)","Neonatologists per 100,000 Residents (2006)","Nephrologists per 100,000 Residents (2006)","Neurosurgeons per 100,000 Residents (2006)","Neurologists per 100,000 Residents (2006)","Obstetrician/ Gynecologists per 100,000 Women Age 15-44 (2006)","Ophthalmologists per 100,000 Residents (2006)","Orthopedic Surgeons per 100,000 Residents (2006)","Otolaryngologists per 100,000 Residents (2006)","Pathologists per 100,000 Residents (2006)","Pediatricians per 100,000 Residents (2006)","Plastic & Reconstructive Surgeons per 100,000 Residents (2006)","Psychiatrists per 100,000 Residents (2006)","Pulmonologists per 100,000 Residents (2006)","Radiologists per 100,000 Residents (2006)","Radiation Oncologists per 100,000 Residents (2006)","Physical Medicine/ Rehabilitation Physicians per 100,000 Residents (2006)","Rheumatologists per 100,000 Residents (2006)","Urologists per 100,000 Residents (2006)","Vascular Surgeons per 100,000 Residents (2006)"
1001,Alabaster,AL,102967,2.77960151179723,3.77427390298971,11.9906586769206,154.274,56.134,95.9757,33.7113,16.8629,38.2887,28.792,0.4063,4.5758,7.5446,1.8225,0.6362,1.9425,2.699,0.4776,18.5403,1.0367,8.3154,2.9066,2.1297,1.2767,27.33,0.358,1.7376,1.5694,5.2418,43.7119,2.9991,5.7214,2.902,6.0398,10.4426,1.4681,4.5957,0.9254,4.1097,1.9092,0.8181,0.716,3.9689,0.2783
1002,Alexander City,AL,23177,3.02240570893457,4.65525214470589,19.2387943228592,180.892,57.3111,120.7255,30.5857,23.7061,57.0585,20.1687,0.363,10.3131,7.0907,1.5861,0.6411,1.1979,6.0067,0.334,20.4098,0.2091,10.9906,3.7478,3.1901,0.6306,23.8539,0.3354,0.9196,1.0011,1.5333,91.4875,4.5177,8.1385,4.6371,5.0295,13.1508,1.0998,3.9858,0.6979,12.6618,0.3797,1.0003,0.5961,6.0663,0.3088
1003,Andalusia,AL,25574,4.49213612354734,4.12338420466249,15.1483344349266,157.8908,70.5278,84.2373,14.0428,17.7282,48.4414,8.7948,0.4411,6.6814,1.559,2.1135,0.7533,0.9057,3.4215,0.3121,32.3801,0.1379,8.7156,0.8865,0.5956,0.3013,25.3118,0.2807,0.6138,1.0362,1.035,65.0438,4.6257,6.4281,4.4286,1.9576,12.7569,1.0596,2.8037,0.4747,4.1553,0.3892,0.5988,0.3435,5.4754,0.4159
1004,Anniston,AL,102050,3.70846288521485,5.25015822568451,17.2363413885814,178.9445,60.4323,116.1475,37.9641,22.5974,48.1449,26.9213,0.9386,9.5163,5.4898,3.1055,1.8804,2.7251,7.8025,0.9194,26.4247,0.1609,8.5602,2.9504,1.2434,1.668,23.1267,0.2158,2.4476,1.5218,3.944,60.9188,3.2494,6.965,4.6685,3.0177,10.752,1.474,5.3005,1.0966,9.0091,0.8779,1.2172,1.6303,4.1046,0.861
1006,Ashland,AL,11518,7.3625606941643,8.47251674569319,34.0792550925681,268.3742,90.9778,174.4405,54.0573,28.5749,79.9054,45.8749,0.8096,16.1446,12.0592,3.1204,1.8201,2.3905,8.9825,0.8251,48.2533,0.4725,13.993,3.2878,2.4375,7.4982,26.9616,0.5579,2.0671,2.6916,3.7759,119.3304,6.593,11.2176,7.3042,6.3596,16.0288,2.8296,7.8452,1.3334,14.3863,0.7517,1.8388,1.2966,6.1064,0.8742
1007,Athens,AL,58627,2.61513473567272,4.23922867487991,13.2048759783811,160.5703,61.6429,96.2511,25.5804,20.2071,44.345,9.1823,0.4397,7.8201,3.9184,0.6133,0.7455,0.9476,6.6387,0.3031,31.5652,0.0438,8.4272,1.4953,2.4108,0.5663,16.1969,0.4451,1.139,0.65,1.5504,82.4382,3.5491,5.614,5.0379,1.9675,14.0154,1.0598,4.2929,0.7303,6.6622,1.9132,0.8812,0.4582,1.5136,0.7853
1008,Atmore,AL,18471,3.55707822828032,3.52054549052334,16.2324308959176,180.2162,67.0343,110.447,32.4563,23.9729,46.3452,19.9969,0.6725,10.8702,3.8012,1.3848,1.411,1.8937,9.2452,0.5316,46.7525,0.2493,9.6295,2.2496,1.453,0.9175,12.0833,0.5238,1.1322,1.4293,1.7473,63.6684,4.9085,6.4544,3.2693,3.0267,8.0552,1.6319,4.9334,1.2821,5.8588,0.9741,1.2835,0.9522,2.7763,0.9678
1010,Bessemer,AL,92288,3.63393226088636,4.25335104116639,17.0530547651459,178.2048,70.2658,105.3786,35.151,20.4384,38.9804,41.3297,0.6539,7.6004,5.7528,1.1668,2.3736,2.6641,5.6582,0.7087,23.9976,0.5198,7.2252,2.9695,2.5328,0.9256,30.7126,0.5694,1.4172,1.3926,2.8986,47.9635,4.296,7.1345,3.8931,3.5033,15.4946,1.326,6.7434,1.309,7.8677,0.7169,1.2243,1.0606,1.7831,0.3154
1011,Birmingham,AL,818289,2.91000380120519,3.68029620539313,13.8277019188851,181.4187,61.9667,116.989,45.7725,22.1079,34.6168,53.2939,0.9699,8.778,7.6219,1.0717,1.4752,3.1182,6.0225,1.1131,17.73,0.8266,5.8351,3.7091,3.1467,1.4568,28.708,0.8246,2.3787,1.746,4.5441,43.0973,4.0937,4.7494,3.1686,5.0127,15.6065,1.5957,9.7864,2.1521,9.1958,1.1617,1.7548,1.6966,2.4086,0.416
1012,Boaz,AL,65871,3.55855294704455,4.15121926415807,14.7841768024311,161.747,64.0512,95.11,25.7588,19.8523,40.7366,17.6647,0.3817,7.4233,4.5073,1.0791,0.8477,1.0471,6.18,0.4645,33.8285,0.1601,9.191,1.5067,0.9838,0.4107,18.0606,0.2494,0.8681,1.1326,3.0873,60.2833,2.7524,5.3267,3.9207,2.744,12.2574,1.0401,6.468,1.9949,6.5028,0.5818,0.9023,0.5285,2.9317,0.5792
