HSA #,HSA City,State,Resident Population (1996),"Acute Care Hospital Beds per 1,000 Residents (1996)","Hospital-based Registered Nurses per 1,000 Residents (1996)","FTE Hospital Employees per 1,000 Residents (1996)","Total Physicians per 100,000 Residents (1996)","Primary Care Physicians per 100,000 Residents (1996)","Total Specialists per 100,000 Residents (1996)","Allergists/ Immunologists per 100,000 Residents (1996)","Anesthesiologists per 100,000 Residents (1996)","Cardiologists per 100,000 Residents (1996)","Cardiovascular/ Thoracic Surgeons per 100,000 Residents (1996)","Critical Care Physicians per 100,000 Residents (1996)","Dermatologists per 100,000 Residents (1996)","Emergency Medicine Physicians per 100,000 Residents (1996)","Endocrinologists per 100,000 Residents (1996)","Family Practice Physicians per 100,000 Residents (1996)","General Surgeons per 100,000 Residents (1996)","Gastroenterologists per 100,000 Residents (1996)","Hematologists/ Oncologists per 100,000 Residents (1996)","Infectious Disease Specialists per 100,000 Residents (1996)","Internal Medicine Physicians per 100,000 Residents (1996)","Neonatologists per 100,000 Residents (1996)","Nephrologists per 100,000 Residents (1996)","Neurosurgeons per 100,000 Residents (1996)","Neurologists per 100,000 Residents (1996)","Obstetrician/ Gynecologists per 100,000 Residents (1996)","Ophthalmologists per 100,000 Residents (1996)","Orthopedic Surgeons per 100,000 Residents (1996)","Otolaryngologists per 100,000 Residents (1996)","Pathologists per 100,000 Residents (1996)","Pediatricians per 100,000 Residents (1996)","Plastic & Reconstructive Surgeons per 100,000 Residents (1996)","Psychiatrists per 100,000 Residents (1996)","Pulmonologists per 100,000 Residents (1996)","Radiologists per 100,000 Residents (1996)","Radiation Oncologists per 100,000 Residents (1996)","Physical Medicine/ Rehabilitation Physicians per 100,000 Residents (1996)","Rheumatologists per 100,000 Residents (1996)","Urologists per 100,000 Residents (1996)","Vascular Surgeons per 100,000 Residents (1996)"
49001,Abingdon,VA,35990,3.1746,3.1372,12.4148,178.919864736,64.3386271337,113.6641924951,2.2184059651,8.2334539839,2.7102580492,0.8048633011,0.12041,2.4195695997,6.4165322108,0.2784284555,30.954242841,12.8039584522,2.762179425,0.7098966351,0.1486003448,20.5237122315,0.277536888,0.3113518216,0.6716105295,1.4089836353,15.5526882227,5.877335302,10.5810986462,5.6548426213,5.60586,13.2971968962,0.7327259906,11.2172755698,2.3942594661,7.48252,0.3521931512,0.1720614471,0.3370901922,2.6754783457,0.096107687
49002,Alexandria,VA,288850,1.9692,2.2804,7.9908,224.7961341288,77.3490643097,146.5341987897,1.1424486448,8.2475509647,8.3077323021,1.106028374,0.69126,3.2192708838,6.1936180847,2.0513526334,22.0771325044,9.2831461219,5.0505627304,3.2900100939,1.7641575417,34.5457610129,1.7252130491,1.4627708408,1.4460330697,3.784542302,15.0377042818,8.154962706,9.7489203282,3.1512534454,4.16921,22.0379335214,1.8742305273,17.0616860716,2.6363974199,8.86168,1.0384581744,2.3457361431,1.3057146178,4.7079201888,0.7574513265
49003,Arlington,VA,214571,2.2121,2.1085,8.2528,241.4535068438,79.0148768609,160.9140093991,2.1553908234,11.5506120384,8.6713820108,1.5037129083,0.56748,3.6650918741,6.8831559996,2.0158924592,22.4582188707,8.1901078621,5.0754213248,3.4001051356,2.902890759,36.4880647592,1.9731842776,1.3929412002,1.4527372434,4.5547935085,16.2537885926,8.2006956879,9.687293892,4.53115064,4.44362,21.9354863705,1.7296096135,20.2981588998,3.2879856044,10.85118,1.1353084189,3.053329267,1.6636895984,4.5091907994,0.5048203989
49004,Bedford,VA,23025,2.5933,2.4015,13.8317,149.9483470156,50.3737055954,98.7522353955,0.580375817,7.2261155318,1.9041551414,4.066160515,0.04591,1.1398964666,2.5356635645,0.3713389101,25.9983666933,15.0260767533,0.9247621633,1.2421951792,0.354592487,18.4125981883,0.6850061846,0.6564645723,1.4443345245,1.3430151431,16.4747521611,6.4793045646,5.0556042617,2.3031086197,2.4787,4.9034332477,1.5214140273,4.7813816682,0.8170545,8.57771,0.5104877488,0.8105291271,0.3632286003,4.6700373536,0.0992406665
49005,Big Stone Gap,VA,14860,4.8858,4.6384,20.7129,185.1941303187,82.2960214592,102.4564657805,0.2094889815,4.8723001197,3.4642467107,0.5804399092,0.21918,0.5615388305,9.117314975,0.8061891019,37.2078136815,18.1152620035,2.5088795818,0.8631577191,0.3236398675,23.6241717885,0.5566251406,0.2083413223,0.6792582564,1.0263087599,19.3851566978,2.6821106123,4.2699544584,5.2408842686,2.4629,22.4195156239,0.7121797694,2.2913668982,4.7836987108,13.75451,0.3249676003,0.2640660043,0.4153315565,2.7948434047,0.2503475937
49006,Blacksburg,VA,69218,2.1067,2.8192,10.3837,153.9539213348,60.2777368575,92.9326014209,1.5198225077,5.4969888548,2.2076193843,0.8527468818,0.02438,1.3517206228,9.3545676763,0.5028959768,35.5817242511,9.7255170423,2.1370231055,0.5030260216,0.1445639257,15.1761738863,0.1403344449,0.5429561437,0.489198764,2.2955227359,9.0157943724,6.2488037581,5.5084244262,3.7215096405,2.88926,7.9235008468,0.456205454,7.3801038987,0.757198043,8.08191,0.2075517887,0.3309478335,0.1986702754,5.6239233551,0.0833650144
49007,Charlottesville,VA,205186,2.2364,3.7567,14.2887,216.1188985329,71.9621238388,143.002419311,1.806351814,7.9571441102,7.1264560669,1.0491916535,1.23239,4.3958806693,8.0060900355,2.127291407,26.6267835896,5.565416753,2.7281423045,3.7243404756,1.0910434207,28.1911023217,0.1026645791,2.5347390159,1.6711790974,8.9265493637,9.2676498145,4.5376271161,5.2951256804,2.2280714681,7.62358,17.4586311039,1.882256607,26.8703455055,4.3102706893,13.96867,1.8157309493,1.9214596549,1.495032827,3.581641089,0.0460387194
49008,Chesapeake,VA,146865,2.1149,2.9892,10.0861,164.8632979454,60.1201404945,103.4744829459,0.298053489,7.1171567067,4.0973037715,0.4390529345,0.64244,2.2855707254,8.5129378085,0.6998574562,26.6699999169,9.3521664227,1.4250153205,1.2812145367,0.4289947424,18.8728807601,0.349009853,0.606399092,1.5235851086,4.4173366764,13.5799495064,3.6022333225,5.0146798158,3.1362708382,2.48989,13.9312688911,2.1485496048,7.266386623,2.0786359474,5.01626,0.6528468269,0.5313747864,1.1421067786,2.3115856825,1.0009561972
49009,Clintwood,VA,14380,4.8706,5.1045,21.7827,178.7078921983,80.9764876097,96.2439838968,0.3863917613,6.2456719452,3.8039689256,1.1242105563,0.15237,0.5822033605,4.8384810682,0.9359474655,44.4255972334,12.3835273396,2.1633391659,0.6600109456,0.1619823175,26.1101142959,0.3650927912,0.2399793286,0.7587310917,1.0514428529,13.8890027891,3.7954255746,6.6695266509,2.3149987728,2.63941,9.9291875512,0.8236619817,2.6187830823,0.9011476467,5.63764,0.3418939388,0.1936797192,0.3047121748,3.972994815,5.6757907638
49010,Culpeper,VA,35352,2.2206,3.7097,13.1581,172.5931400066,56.7633901792,114.9757370786,0.6141991302,9.862952622,2.3917128075,1.0627769357,0.41871,3.3507381565,4.5131742755,0.6944533704,23.124867022,8.3458061795,1.2284908895,3.0582581371,0.396172728,20.0391896665,0.1985079747,0.7474965967,0.8710927534,4.8877262931,18.7364028149,6.5434464056,11.0764704253,3.2996581552,4.98244,13.5764872868,1.0524623527,8.7671347585,1.4116673344,6.04423,0.5582926122,0.7397980652,0.4965013298,3.7695355277,0.0532072494
