HSA #,HSA City,State,Resident Population (2010),"Total Physicians per 100,000 Residents (2011)","Primary Care Physicians per 100,000 Residents (2011)","Total Specialists per 100,000 Residents (2011)","Medical Specialists per 100,000 Residents (2011)","Hospital-Based Physicians per 100,000 Residents (2011)","Surgeons per 100,000 Residents (2011)","Resident Physicians per 100,000 Residents (2011)","Allergists/ Immunologists per 100,000 Residents (2011)","Anesthesiologists per 100,000 Residents (2011)","Cardiologists per 100,000 Residents (2011)","Cardiovascular/ Thoracic Surgeons per 100,000 Residents (2011)","Critical Care Physicians per 100,000 Residents (2011)","Dermatologists per 100,000 Residents (2011)","Emergency Medicine Physicians per 100,000 Residents (2011)","Endocrinologists per 100,000 Residents (2011)","Family Practice Physicians per 100,000 Residents (2011)","Geriatricians per 100,000 Residents (2011)","General Surgeons per 100,000 Residents (2011)","Gastroenterologists per 100,000 Residents (2011)","Hematologists/ Oncologists per 100,000 Residents (2011)","Infectious Disease Specialists per 100,000 Residents (2011)","Internal Medicine Physicians per 100,000 Residents (2011)","Neonatologists per 100,000 Residents (2011)","Nephrologists per 100,000 Residents (2011)","Neurosurgeons per 100,000 Residents (2011)","Neurologists per 100,000 Residents (2011)","Obstetrician/ Gynecologists per 100,000 Women Age 15-44 (2011)","Ophthalmologists per 100,000 Residents (2011)","Orthopedic Surgeons per 100,000 Residents (2011)","Otolaryngologists per 100,000 Residents (2011)","Pathologists per 100,000 Residents (2011)","Pediatricians per 100,000 Residents (2011)","Plastic & Reconstructive Surgeons per 100,000 Residents (2011)","Psychiatrists per 100,000 Residents (2011)","Pulmonologists per 100,000 Residents (2011)","Radiologists per 100,000 Residents (2011)","Radiation Oncologists per 100,000 Residents (2011)","Physical Medicine/ Rehabilitation Physicians per 100,000 Residents (2011)","Rheumatologists per 100,000 Residents (2011)","Urologists per 100,000 Residents (2011)","Vascular Surgeons per 100,000 Residents (2011)"
49001,Abingdon,VA,54876,204.68163391,79.16288395,123.32220652,39.624456877,23.586108995,44.274092604,18.4050041,0.4093223531,10.413233158,4.3652380751,0.8771316627,2.7454326975,2.3851002978,14.676510484,0.4017966821,40.53797953,0.1105760135,7.7969054667,2.4794670742,3.1468038448,0.2776372296,28.098665468,1.2819498589,0.8226762765,1.5621064658,3.2663967122,74.178524615,4.2457652759,7.5137237145,3.2409055838,2.5607604365,9.1198040288,1.8642273973,9.8167029965,1.6083789604,11.430360145,1.2165202896,0.7833674473,0.1757741878,2.529214607,0.2483098385
49002,Alexandria,VA,328930,205.95436268,69.491345312,134.09397326,56.229044416,21.758325971,40.665368756,21.170483372,1.7787924388,8.955137246,6.173878116,0.6842379959,2.146865537,3.7100265405,12.972484443,1.6063722165,21.960278538,0.6926387935,6.007599147,4.558732996,2.8306075984,1.813216649,31.389276538,1.1207664977,2.0791391977,0.7682072186,4.4603726948,57.729327685,7.1338699362,6.8868855997,3.2692130462,3.0954978014,16.437574134,1.7925798743,10.434677152,1.180999634,6.9863681565,1.0213607021,2.7716528246,1.4612637412,1.7773073928,0.374964801
49003,Arlington,VA,247147,204.88986055,75.030852817,127.60757274,54.691792515,20.207339294,33.569541089,27.811030794,1.8355595674,7.5396352065,7.2528017029,0.4375452988,2.3367176436,2.7519004153,10.390274924,2.2061006417,18.88467148,1.3118372639,5.0618389288,3.1597820787,3.1025737257,2.2889088828,37.802834533,1.4852776468,2.705367338,1.023441616,3.4971530535,38.205336162,7.4934112068,6.2521895619,2.8366428495,3.5160709607,19.929987367,1.6340002279,14.057887713,1.3745094342,7.0613688108,0.7686884591,2.3744394942,2.0613180404,2.0417253527,0.396747628
49004,Bedford,VA,27994,285.52614106,124.87857063,157.93670531,50.857350955,29.336917267,61.397668709,34.186324569,0.9346442781,15.679273615,9.3809930012,3.8671440389,2.7394584626,1.734200365,12.487971407,1.2970988944,78.875074793,0.8561227643,12.35835832,2.7454543121,4.1878957123,0.9797750998,30.727383237,2.2107552864,4.0573521776,1.9123684368,2.2172656031,110.24413853,8.5242487793,5.0773463386,2.0947819203,2.8447241516,15.789496614,2.264703174,11.757646022,1.1638309929,9.0841590066,0.8495677697,2.8245733066,1.1239696834,2.231050268,1.1533403078
49005,Big Stone Gap,VA,16756,188.74531906,79.787725449,106.31530888,39.865981222,22.289948578,37.851381809,21.526927839,0.5104216149,9.3250900762,4.2698184541,0.7273363603,5.2798074924,0.9758122485,16.300396156,0.1699105365,45.543810677,0.1922807605,6.5318923553,5.9945728406,1.6441445623,0.535176105,23.12708395,0.6558133898,1.3628783494,1.2271753441,2.2414676954,74.06673574,2.7464533665,6.2878745907,1.9551745527,2.3744751271,10.793529735,0.9301586826,3.0931556379,0.5073805184,9.0107166852,0.4002716954,0.5302172584,0.4897959246,2.6147539257,0.3401521528
49006,Blacksburg,VA,79682,153.8639167,49.250022932,102.01458927,37.038061506,22.525511794,31.46162457,16.863020125,1.534349125,9.907931178,3.4730108876,1.0083642318,1.0376159999,1.4291076789,10.325629261,0.8084697759,22.699006417,0.8022912031,7.4302966827,3.21057897,1.8270675378,0.3010671598,16.737734182,0.2687466137,1.4647107132,0.5467640482,2.8947812041,31.684458225,5.9894476393,5.8007179643,1.2512822272,1.2154443995,9.3392443471,1.0905576775,8.9881023188,0.9594574212,6.015347385,0.3402884083,3.1046040804,0.3302278786,2.1530985973,0.8158356743
49007,Charlottesville,VA,246966,211.03815912,74.421216378,134.19512552,59.534077522,24.022429816,27.279420236,90.137535574,1.4466832231,10.79732804,6.1031805362,0.803158177,2.5961277163,4.3755192755,10.206949683,2.4522925768,26.486487541,1.0777856696,4.79744879,3.8926374027,4.6705091757,2.1236398453,27.769654354,1.5008390765,3.0076579053,1.5279914062,6.7965327133,35.139643902,3.0427513895,4.005916451,1.6667354415,3.8594577987,20.924650596,1.0760575459,15.270767622,1.3178542811,10.014262952,1.8578667961,4.5678135401,1.4556803398,2.0199746224,0.6081969094
49008,Chesapeake,VA,168240,196.47546799,67.922748096,126.16656129,47.458769608,22.049830146,44.376376168,20.654111351,1.2843541528,8.8212728867,3.9755009662,0.9952565192,1.5324730259,1.7526072569,11.668569541,1.5559532383,27.673572582,1.2901753182,8.1789758999,2.8834377524,2.5329778484,0.977644689,22.49946137,0.473359376,2.9972882999,1.2823540933,2.9270850391,60.697915626,5.271832515,5.2452106314,3.858081071,3.8847944322,17.430918221,2.451210866,6.1027117069,2.1548491284,8.6254211467,1.0530320848,2.7247661002,2.5023460672,2.6647314869,1.4424151932
49009,Clintwood,VA,16033,221.04482108,91.157917751,127.71535113,36.645879155,20.814852972,60.621675334,21.548593807,0.5231680369,8.0893193552,4.804954205,1.1864607517,1.7370291523,1.2103634174,8.173435185,0.2163635684,47.16018116,5.4734773684,14.904737343,3.3551296181,2.1133379053,0.5358975972,32.585974117,0.6737305753,1.7705352934,1.1509159275,2.7519638055,91.899698645,3.5844471407,7.3184288317,3.0172133237,2.4305692907,9.9097305506,0.9406887711,4.549342361,0.6403544,9.0656329845,0.4442119812,0.7979736266,0.4554954384,4.129769553,6.0360396144
49010,Culpeper,VA,54022,192.838482,59.914880993,130.93507217,49.953993014,27.041265786,43.003096001,47.533913664,0.8024317852,13.76448668,3.9889788168,0.4824671114,1.4167934616,3.2350594978,14.634465821,2.1011219238,26.436676842,1.6044522755,6.3925831145,3.119907961,1.817302254,0.9072524827,20.519424737,0.7040784296,3.6059854667,1.1427681913,5.1549532203,72.992397279,4.8550401095,7.327795639,2.7312113969,4.4064668277,12.907997357,1.0927097349,7.3492349316,1.9336574814,7.6453905634,0.6339431162,2.4000989115,0.7481388318,2.4965475822,0.4894350724
49011,Danville,VA,105614,215.54059026,66.460370485,146.51837415,50.378172369,25.388470936,51.721252111,40.028952857,0.324763413,12.166311764,7.9222000928,1.5214118132,1.4771475769,2.2296673386,10.279011826,1.4986164785,30.577512599,1.4164786784,7.2639042525,4.1532769744,2.4868951885,0.9692651792,21.259825082,0.6535090482,4.1950911763,1.2747626025,4.0865219503,98.118959617,7.3606276327,6.47626535,3.5625279547,3.6837381812,15.45221167,0.8080151574,14.027309643,1.4895246895,12.306692724,1.3431809406,1.8924059811,1.3266818164,3.5698966548,0.4271652108
49012,Emporia,VA,29281,247.36975036,86.14537191,158.71730132,45.296703247,28.853490784,69.364306251,31.841677968,0.621413304,15.42370598,8.2963089637,0.9856979292,1.2837513419,1.596906836,7.2932492284,1.3832408529,48.200229008,0.9761746867,13.956562723,4.2263527985,1.796184542,0.8530628949,24.646705376,0.8181407042,3.6964185194,1.0772323234,2.6745891171,114.04496365,7.4109181637,13.515453512,2.8534232827,2.8337149909,12.820777236,2.0691982369,9.2482432654,0.9566581625,8.6537071083,0.804939599,2.7684733802,0.9416296298,3.4641267203,1.2093009376
